Empresa,Unidad,Anio,Produccion
Ministro Hales,Miles TM,1968,0.0
Salvador,Miles TM,1968,86.2
Andina,Miles TM,1968,0.0
El Teniente,Miles TM,1968,154.3
Gaby,Miles TM,1968,0.0
Escondida,Miles TM,1968,0.0
Collahuasi,Miles TM,1968,0.0
Los Pelambres,Miles TM,1968,0.0
Anglo American Sur,Miles TM,1968,33.2
El Abra,Miles TM,1968,0.0
Candelaria,Miles TM,1968,0.0
Mantos Copper,Miles TM,1968,30.4
Zaldívar,Miles TM,1968,0.0
Cerro Colorado,Miles TM,1968,0.0
Centinela (Oxidos),Miles TM,1968,0.0
Quebrada Blanca,Miles TM,1968,0.0
Lomas Bayas,Miles TM,1968,0.0
Michilla,Miles TM,1968,0.0
Spence,Miles TM,1968,0.0
Centinela (Súlfuros),Miles TM,1968,0.0
Caserones,Miles TM,1968,0.0
Sierra Gorda,Miles TM,1968,0.0
Antucoya,Miles TM,1968,0.0
Andacollo,Miles TM,1968,0.0
Punta del Cobre,Miles TM,1968,0.0
Las Cenizas,Miles TM,1968,0.0
Chuquicamata,Miles TM,1969,283.4
Radomiro Tomic,Miles TM,1969,0.0
Ministro Hales,Miles TM,1969,0.0
Salvador,Miles TM,1969,77.1
Andina,Miles TM,1969,0.0
El Teniente,Miles TM,1969,179.9
Gaby,Miles TM,1969,0.0
Escondida,Miles TM,1969,0.0
Collahuasi,Miles TM,1969,0.0
Los Pelambres,Miles TM,1969,0.0
Anglo American Sur,Miles TM,1969,33.6
El Abra,Miles TM,1969,0.0
Candelaria,Miles TM,1969,0.0
Mantos Copper,Miles TM,1969,31.0
Zaldívar,Miles TM,1969,0.0
Cerro Colorado,Miles TM,1969,0.0
Centinela (Oxidos),Miles TM,1969,0.0
Quebrada Blanca,Miles TM,1969,0.0
Lomas Bayas,Miles TM,1969,0.0
Michilla,Miles TM,1969,0.0
Spence,Miles TM,1969,0.0
Centinela (Súlfuros),Miles TM,1969,0.0
Caserones,Miles TM,1969,0.0
Sierra Gorda,Miles TM,1969,0.0
Antucoya,Miles TM,1969,0.0
Andacollo,Miles TM,1969,0.0
Punta del Cobre,Miles TM,1969,0.0
Las Cenizas,Miles TM,1969,0.0
Chuquicamata,Miles TM,1970,264.9
Radomiro Tomic,Miles TM,1970,0.0
Ministro Hales,Miles TM,1970,0.0
Salvador,Miles TM,1970,93.0
Andina,Miles TM,1970,6.0
El Teniente,Miles TM,1970,176.6
Gaby,Miles TM,1970,0.0
Escondida,Miles TM,1970,0.0
Collahuasi,Miles TM,1970,0.0
Los Pelambres,Miles TM,1970,0.0
Anglo American Sur,Miles TM,1970,38.4
El Abra,Miles TM,1970,0.0
Candelaria,Miles TM,1970,0.0
Mantos Copper,Miles TM,1970,32.9
Zaldívar,Miles TM,1970,0.0
Cerro Colorado,Miles TM,1970,0.0
Centinela (Oxidos),Miles TM,1970,0.0
Quebrada Blanca,Miles TM,1970,0.0
Lomas Bayas,Miles TM,1970,0.0
Michilla,Miles TM,1970,0.0
Spence,Miles TM,1970,0.0
Centinela (Súlfuros),Miles TM,1970,0.0
Caserones,Miles TM,1970,0.0
Sierra Gorda,Miles TM,1970,0.0
Antucoya,Miles TM,1970,0.0
Andacollo,Miles TM,1970,0.0
Punta del Cobre,Miles TM,1970,0.0
Las Cenizas,Miles TM,1970,0.0
Chuquicamata,Miles TM,1971,285.5
Radomiro Tomic,Miles TM,1971,0.0
Ministro Hales,Miles TM,1971,0.0
Salvador,Miles TM,1971,84.9
Andina,Miles TM,1971,53.6
El Teniente,Miles TM,1971,147.3
Gaby,Miles TM,1971,0.0
Escondida,Miles TM,1971,0.0
Collahuasi,Miles TM,1971,0.0
Los Pelambres,Miles TM,1971,0.0
Anglo American Sur,Miles TM,1971,34.3
El Abra,Miles TM,1971,0.0
Candelaria,Miles TM,1971,0.0
Mantos Copper,Miles TM,1971,30.6
Zaldívar,Miles TM,1971,0.0
Cerro Colorado,Miles TM,1971,0.0
Centinela (Oxidos),Miles TM,1971,0.0
Quebrada Blanca,Miles TM,1971,0.0
Lomas Bayas,Miles TM,1971,0.0
Michilla,Miles TM,1971,0.0
Spence,Miles TM,1971,0.0
Centinela (Súlfuros),Miles TM,1971,0.0
Caserones,Miles TM,1971,0.0
Sierra Gorda,Miles TM,1971,0.0
Antucoya,Miles TM,1971,0.0
Andacollo,Miles TM,1971,0.0
Punta del Cobre,Miles TM,1971,0.0
Las Cenizas,Miles TM,1971,0.0
