Origin,Horizonte,Mine,Segment,Mine_Size,Actual,Naive,LGB,RF,XGB,ARIMA,SARIMAX,RollingMean,LGB_bc,RF_bc,XGB_bc,Best_Pred,H_norm,Stack_Pred
2018-01-01,9,mantoverde,SM,0,4.147,3.065,3.5001125937263065,3.5705045413342704,3.444938420654132,3.377755305965755,3.0127496860921936,3.8912222222222215,3.5001125937263065,3.5705045413342704,3.444938420654132,3.7488567603454483,0.15,3.3410644634733546
2018-01-01,12,mantoverde,SM,0,3.566,3.065,3.6206831267907247,3.5730738079204594,3.444938420654132,3.379519093657093,2.9435952599079664,3.8912222222222215,3.6206831267907247,3.5730738079204594,3.444938420654132,3.7734847202755697,0.2,3.5054549256362564
2018-01-01,18,mantoverde,SM,0,3.52,3.065,3.768514398360999,3.6372030573677128,3.4407830626132325,3.379844858173746,2.9659479111503444,3.8912222222222215,3.768514398360999,3.6372030573677128,3.4407830626132325,3.7970404750432887,0.3,3.7770184334430006
2018-01-01,24,mantoverde,SM,0,3.299,3.065,3.8637285894945346,3.6845999119954027,3.394119131418223,3.3798531264687948,2.95283769972103,3.8912222222222215,3.8637285894945346,3.6845999119954027,3.394119131418223,3.8209874393358696,0.4,4.034959000167689
2018-01-01,30,mantoverde,SM,0,3.159,3.065,3.9199067550593454,3.698083576784728,3.3720048720821834,3.3798533363280625,2.9553389695759855,3.8912222222222215,3.9199067550593454,3.698083576784728,3.3720048720821834,3.8418859884421104,0.5,4.240841696772305
2018-01-01,36,mantoverde,SM,0,3.144,3.065,3.9032043728457246,3.6980835767847284,3.2977191197952886,3.3798533416545435,2.9538719321187883,3.8912222222222215,3.9032043728457246,3.6980835767847284,3.2977191197952886,3.8368752737780247,0.6,4.41805451063078
2018-01-01,42,mantoverde,SM,0,4.3,3.065,3.9163110610556506,3.698083576784728,3.2017705804886356,3.379853341789736,2.9541518251310075,3.8912222222222215,3.9163110610556506,3.698083576784728,3.2017705804886356,3.8408072802410023,0.7,4.617531713013649
2018-01-01,48,mantoverde,SM,0,4.106,3.065,3.9163110610556506,3.698083576784728,3.2017705804886356,3.3798533417931673,2.9539876631026205,3.8912222222222215,3.9163110610556506,3.698083576784728,3.2017705804886356,3.8408072802410023,0.8,4.779640067953608
2018-01-01,54,mantoverde,SM,0,4.103,3.065,3.9163110610556506,3.698083576784728,3.2017705804886356,3.3798533417932544,2.954018983233127,3.8912222222222215,3.9163110610556506,3.698083576784728,3.2017705804886356,3.8408072802410023,0.9,4.941693448167305
2018-01-01,60,mantoverde,SM,0,3.34,3.065,3.9163110610556506,3.698083576784728,3.2017705804886356,3.379853341793256,2.954000613442068,3.8912222222222215,3.9163110610556506,3.698083576784728,3.2017705804886356,3.8408072802410023,1.0,5.103760802495205
2018-07-01,6,mantoverde,SM,0,3.566,3.908,3.6641421636896117,3.777589086838951,3.701443214362941,3.4919727713945097,3.4597407463632806,3.7886666666666664,3.700999322558914,3.7461153066218804,3.821650613701444,3.7626229258361588,0.1,3.164474784893674
2018-07-01,9,mantoverde,SM,0,3.765,3.908,3.7082664391373727,3.7588688732907074,3.676701312414959,3.4897264833046813,3.3810867836613814,3.7886666666666664,4.355153845411067,4.335364331956438,4.378762891760827,4.011303635473501,0.15,3.7541734326974505
2018-07-01,12,mantoverde,SM,0,3.52,3.908,3.7243485066737008,3.7508306704313545,3.687149089033881,3.4893800873893204,3.44110593402573,3.7886666666666664,3.669665379882976,3.743756862510895,3.8082106683797488,3.755884448478774,0.2,3.317075863512249
2018-07-01,18,mantoverde,SM,0,3.299,3.908,3.673978779361683,3.7517471141208074,3.670913381516833,3.4893184329710913,3.4638304790961145,3.7886666666666664,3.425464381000684,3.6345440567530947,3.7501303189036004,3.659335442771778,0.3,3.3201007782366663
2018-07-01,24,mantoverde,SM,0,3.159,3.908,3.606163762620189,3.7458584875532686,3.5203835689577603,3.4893169668196897,3.451634592722139,3.7886666666666664,3.041435173125654,3.360258575557866,3.4252644375395374,3.4359747912717227,0.4,3.23097567980293
2018-07-01,30,mantoverde,SM,0,3.144,3.908,3.6344113963433586,3.7533776928733853,3.5070227134352816,3.4893169319543875,3.430850006382391,3.7886666666666664,2.873504641284013,3.214294116088657,3.294017841353098,3.341806293878468,0.5,3.263176086534168
2018-07-01,36,mantoverde,SM,0,4.3,3.908,3.5946702119301106,3.7510488079496476,3.47998377010708,3.489316931125286,3.431932263847522,3.7886666666666664,2.835465839084386,3.1969652311649193,3.3262646503117916,3.3251959877414583,0.6,3.387586383379787
2018-07-01,42,mantoverde,SM,0,4.106,3.908,3.615810244761462,3.7510488079496476,3.4710728506770243,3.48931693110557,3.4395871179755972,3.7886666666666664,3.999499183705811,4.352965231164919,4.5693022701883885,4.021205991127886,0.7,4.445063962386627
2018-07-01,48,mantoverde,SM,0,4.103,3.908,3.590018376582006,3.7510488079496476,3.356335208615929,3.4893169311051015,3.4380140577775786,3.7886666666666664,3.7797073155263554,4.1589652311649195,4.260564628127293,3.8970684306740493,0.8,4.470064080801688
2018-07-01,54,mantoverde,SM,0,3.34,3.908,3.590018376582006,3.7510488079496476,3.356335208615929,3.4893169311050904,3.433870756247028,3.7886666666666664,3.7767073155263553,4.155965231164919,4.257564628127293,3.895268430674049,0.9,4.627547724586206
2018-07-01,60,mantoverde,SM,0,3.03,3.908,3.590018376582006,3.7510488079496476,3.356335208615929,3.4893169311050904,3.434382104640756,3.7886666666666664,3.0137073155263554,3.3929652311649194,3.4945646281272933,3.4374684306740493,1.0,4.181409020990155
2019-01-01,6,mantoverde,SM,0,3.52,2.861,3.8437522173632144,3.7895422242959973,3.8097831783265357,3.5981967264951233,3.5272929102735597,3.681777777777778,3.8131097149530597,3.6680107907679864,3.8021652708143163,3.705290767810876,0.1,3.4559470736376197
2019-01-01,9,mantoverde,SM,0,3.915,2.861,3.789426781882103,3.7882451231097516,3.705101473146989,3.599037003461582,3.5981371810060727,3.681777777777778,4.141237265450263,4.079558415797263,4.100281606612444,3.853225802916172,0.15,3.851782807455219
2019-01-01,12,mantoverde,SM,0,3.299,2.861,3.778790882046468,3.788163840285094,3.7021444575170963,3.5991841566925125,3.601608269526403,3.681777777777778,3.6492750653142556,3.669211601109187,3.6791007026730895,3.6727639999513553,0.2,3.5617750623928375
2019-01-01,18,mantoverde,SM,0,3.159,2.861,3.800886453393473,3.795794223399392,3.684725035380793,3.599214439845517,3.6351205001740805,3.681777777777778,3.489139864532132,3.5108191376551323,3.5383768133157605,3.5908786394357053,0.3,3.5859433072633764
2019-01-01,24,mantoverde,SM,0,3.144,2.861,3.679401954715128,3.799529197650426,3.56818003107174,3.5992153685889945,3.5930105013416713,3.681777777777778,3.1734557786577664,3.31329999787609,3.3399286808837485,3.418737844071268,0.4,3.5436755612061623
2019-01-01,30,mantoverde,SM,0,4.3,2.861,3.7496800199367555,3.8170793030542027,3.5723455088800455,3.599215397072305,3.574021133035197,3.681777777777778,3.1240209442354034,3.242848668225146,3.2843317161213132,3.382771994849276,0.5,3.6568695476892503
2019-01-01,36,mantoverde,SM,0,4.106,2.861,3.775758689401106,3.83861731481448,3.690935528212857,3.599215397945849,3.5978823401756714,3.681777777777778,3.7488213970131885,3.8360511224472917,4.024084083261672,3.7481728669492553,0.6,4.299604424800242
2019-01-01,42,mantoverde,SM,0,4.103,2.861,3.8080472601420534,3.854537618160411,3.6721815889550418,3.59921539797264,3.6086424746613273,3.681777777777778,4.244986607233497,4.3329714257932235,4.538759873372212,4.046098521019127,0.7,4.869995650976696
2019-01-01,48,mantoverde,SM,0,3.34,2.861,3.805475708128972,3.861608380374047,3.5837681001381583,3.599215397973461,3.595121761719336,3.681777777777778,4.156810989310143,4.241542188006859,4.409215205585876,3.992217064306212,0.8,4.965709870283354
2019-01-01,54,mantoverde,SM,0,3.03,2.861,3.825692481973888,3.861608380374047,3.632818357402781,3.599215397973486,3.5890246397782164,3.681777777777778,3.7940277631550594,3.858542188006859,4.075265462850498,3.768482096459687,0.9,4.813053551259431
2019-01-01,60,mantoverde,SM,0,3.394,2.861,3.825692481973888,3.861608380374047,3.632818357402781,3.5992153979734867,3.596686015725524,3.681777777777778,3.2575277631550597,3.3220421880068587,3.5387654628504985,3.4465820964596867,1.0,4.530526251107855
2019-07-01,6,mantoverde,SM,0,3.299,3.601,3.5342047926074396,3.5815230634470714,3.6416931787616185,3.5493990564871383,3.5115966641857774,3.5477499999999997,3.4058590518795984,3.410654699663065,3.5400201809779603,3.4919527503085326,0.1,3.206153425081201
2019-07-01,9,mantoverde,SM,0,3.235,3.601,3.5516640039946052,3.5777860182037284,3.6363247779192056,3.549983867217371,3.5216355571303115,3.5477499999999997,3.8280620657460114,3.8142465056254853,3.969744375847179,3.6571117142742993,0.15,3.6356456911802804
2019-07-01,12,mantoverde,SM,0,3.159,3.601,3.5799144206881004,3.5766207472960434,3.6242878288787606,3.5500723700820687,3.525453650341986,3.5477499999999997,3.3336402488511356,3.334264641083741,3.4745438398103907,3.4622309779869753,0.2,3.2939930887272357
2019-07-01,18,mantoverde,SM,0,3.144,3.601,3.542343590361811,3.584462005339634,3.6341148995941186,3.5500877906857267,3.523854641529383,3.5477499999999997,3.120550379989759,3.18221387371033,3.361307739757166,3.349566063425022,0.3,3.280250089272446
2019-07-01,24,mantoverde,SM,0,4.3,3.601,3.5961606308223484,3.560631657848039,3.5632896013206463,3.5500881438569962,3.5167218833917104,3.5477499999999997,3.0803958618790643,3.01796912544834,3.269728690838072,3.2486094961982213,0.4,3.3395800377977243
2019-07-01,30,mantoverde,SM,0,4.106,3.601,3.5618271894430915,3.5399370971499344,3.60528254581408,3.550088151945521,3.517544957129486,3.5477499999999997,3.3281611323299383,3.3180902395791625,3.6558248476815765,3.41297541157273,0.5,3.7113472758287687
2019-07-01,36,mantoverde,SM,0,4.103,3.601,3.606236551386141,3.5399370971499344,3.574866378915275,3.550088152130769,3.5212164727927964,3.5477499999999997,3.6983587933271607,3.6273538639669822,3.935320239543533,3.616813797188243,0.6,4.17031673609981
2019-07-01,42,mantoverde,SM,0,3.34,3.601,3.641522208126512,3.5399370971499344,3.5965523640029695,3.5500881521350114,3.5207928038470713,3.5477499999999997,4.031132686140124,3.941713762851672,4.3178773572960685,3.8109539346975385,0.7,4.592726617316712
2019-07-01,48,mantoverde,SM,0,3.03,3.601,3.526678524719255,3.5399370971499344,3.565624543386212,3.5500881521351086,3.518902928008616,3.5477499999999997,3.6057434761303786,3.6193568421137936,4.034666580305304,3.586630095473251,0.8,4.411095160906983
2019-07-01,54,mantoverde,SM,0,3.394,3.601,3.5247401322541974,3.5399370971499344,3.7964576964988335,3.5500881521351104,3.519121007346267,3.5477499999999997,3.238399492383682,3.260690175447127,3.8904829809963846,3.3688269003492426,0.9,4.207396310872335
2019-07-01,60,mantoverde,SM,0,5.144,3.601,3.4428762406837032,3.5399370971499344,3.8845037733675984,3.5500881521351104,3.520093801966339,3.5477499999999997,2.920202267479855,3.0243568421137934,3.7421957245318165,3.2024677328780946,1.0,4.10016339459967
2020-01-01,6,mantoverde,SM,0,3.159,3.566,3.6998598736719743,3.6046545358210746,3.5214104517968075,3.5220694176941745,3.426162778248383,3.5293611111111116,3.5447993699742337,3.405872497121302,3.3594824087686592,3.5077510400857737,0.1,3.304454231958103
2020-01-01,9,mantoverde,SM,0,3.062,3.566,3.6798530488445977,3.6046545358210746,3.471818087473751,3.526138190328503,3.4282728306865224,3.5293611111111116,3.807985594159501,3.69630339683646,3.62155159143993,3.618474464865859,0.15,3.6279430249259628
2020-01-01,12,mantoverde,SM,0,3.144,3.566,3.6093478993052,3.6017494662536524,3.414127376569624,3.5267260582510533,3.3925880154096615,3.5293611111111116,3.3194136652554516,3.3155771997704147,3.1854974275486567,3.44461483967184,0.2,3.29692752106916
2020-01-01,18,mantoverde,SM,0,4.3,3.566,3.690406519215493,3.6036171924175227,3.4267341770373045,3.526823267010103,3.391779538064292,3.5293611111111116,3.2744757138460017,3.191815592360636,3.0996000822610603,3.3812533821072153,0.3,3.3345935098486796
2020-01-01,24,mantoverde,SM,0,4.106,3.566,3.5828485771526903,3.5977602820315857,3.39181612028036,3.526825296271911,3.4087556252309588,3.5293611111111116,3.37198484273964,3.375605468269802,3.3558230370882676,3.436021537747277,0.4,3.6021354859649266
2020-01-01,30,mantoverde,SM,0,4.103,3.566,3.735635604163513,3.591687502835612,3.4225961362795836,3.526825338633356,3.4091644076704584,3.5293611111111116,3.696429263967875,3.5668180853700493,3.5856822262266856,3.5907186492458214,0.5,3.9573735527980967
2020-01-01,36,mantoverde,SM,0,3.34,3.566,3.5550632308968155,3.582106720554473,3.38456860212272,3.5268253395176643,3.4005809558707685,3.5293611111111116,3.7483457745060447,3.788435021379775,3.786942402865095,3.6727786832101907,0.6,4.235324075772957
2020-01-01,42,mantoverde,SM,0,3.03,3.566,3.7448523457522223,3.5840957526271455,3.4286545048909614,3.5268253395361246,3.4003742672309456,3.5293611111111116,3.9616796522308024,3.8354439776159652,3.9055101588600434,3.7508815333984753,0.7,4.465457056030667
2020-01-01,48,mantoverde,SM,0,3.394,3.566,3.662728958545872,3.5840957526271455,3.4129116298366218,3.52682533953651,3.404714233447794,3.5293611111111116,3.5978580409244008,3.516176287062556,3.630787021679388,3.5459547428405314,0.8,4.273483647222358
2020-01-01,54,mantoverde,SM,0,5.144,3.566,3.738858460979085,3.5840957526271455,3.4103890452215606,3.526825339536518,3.4048187393895963,3.5293611111111116,3.4914179480126495,3.338176287062556,3.3802935844700155,3.4606227149670064,0.9,4.258721488292466
2020-01-01,60,mantoverde,SM,0,8.905,3.566,3.628637580354368,3.5840957526271455,3.2255485278435225,3.526825339536518,3.402624365004682,3.5293611111111116,3.661913040280556,3.5984262870625563,3.4336915478747865,3.5898462426473783,1.0,4.603485452108697
2020-07-01,6,mantoverde,SM,0,3.144,3.52,3.3888999900444468,3.353463875989881,3.3436053956481815,3.230064373254611,3.060070490973152,3.442416666666667,3.156679612351859,3.105307337865848,3.1415808708663016,3.317847390043542,0.1,3.4753112885884403
2020-07-01,9,mantoverde,SM,0,3.681,3.52,3.3861307194861974,3.356200118849619,3.2962165137442243,3.231711532688516,3.0373554304459085,3.442416666666667,3.3650661459692004,3.3209883004977123,3.334039699422417,3.402660889293383,0.15,3.70947486054537
2020-07-01,12,mantoverde,SM,0,4.3,3.52,3.368456108550329,3.3528936569050627,3.2945589464491203,3.231982118573849,3.0419680940738636,3.442416666666667,3.04343914144949,3.032405950467742,3.0576295119184214,3.2806190183834465,0.2,3.5153858920505803
2020-07-01,18,mantoverde,SM,0,4.106,3.52,3.374005824722112,3.353146928396908,3.2698055326007083,3.232033870906854,3.056767329626734,3.442416666666667,3.16317987658342,3.162982209867894,3.182751421372252,3.302748854946162,0.3,3.742917061823318
2020-07-01,24,mantoverde,SM,0,4.103,3.52,3.330972541366632,3.349923239892986,3.228754067011478,3.232035267496873,3.0655525885120385,3.442416666666667,3.2669118384056537,3.2738473324772412,3.342796376401732,3.3391944179315356,0.4,3.953610252456695
2020-07-01,30,mantoverde,SM,0,3.34,3.52,3.477065665686198,3.3581977399194596,3.2655661369331144,3.2320353051852933,3.0583702175242875,3.442416666666667,3.519173472696985,3.440564705379887,3.5321157816348796,3.4648881200897286,0.5,4.237938643160489
2020-07-01,36,mantoverde,SM,0,3.03,3.52,3.321802500011167,3.315449162061248,3.1611402591292412,3.2320353062023544,3.0541065521274304,3.442416666666667,3.4334158887191872,3.4320904586105954,3.474125579298597,3.436618570865601,0.6,4.325269118100114
2020-07-01,42,mantoverde,SM,0,3.394,3.52,3.2881253414690192,3.311259035843981,3.144010544677942,3.2320353062298013,3.0575923033212953,3.442416666666667,3.318616717501439,3.4015184653096076,3.445764166875015,3.393007221509981,0.7,4.392478596316364
2020-07-01,48,mantoverde,SM,0,5.144,3.52,3.3006983257981877,3.309377029187036,3.0079211094684193,3.232035306230542,3.0596615471368382,3.442416666666667,3.1950557999918363,3.2170223062099352,3.178439096975308,3.3005900985271985,0.8,4.375283251859691
2020-07-01,54,mantoverde,SM,0,8.905,3.52,3.3177736548241157,3.309377029187036,3.0353071216722487,3.2320353062305616,3.0579698409570475,3.442416666666667,3.40084955225515,3.4246223062099355,3.357952944026701,3.4246082242061924,0.9,4.6683962859563835
2020-07-01,60,mantoverde,SM,0,7.76,3.52,3.276962929816405,3.309377029187036,2.8395696640887613,3.232035306230562,3.0569655947112424,3.442416666666667,4.358855781686481,4.385022306209935,4.141974374545068,4.000130093035591,1.0,5.5978704616509525
2020-10-01,6,mantoverde,SM,0,3.681,3.915,3.3756540639237,3.3609528889871356,3.4724665590992365,3.179057759273652,3.0220812380640036,3.383916666666667,3.1413204175058027,3.119245127885461,3.2708452225063063,3.282463109078253,0.1,3.8639763853656275
2020-10-01,9,mantoverde,SM,0,4.3,3.915,3.371939546807722,3.3609528889871356,3.5554460467975106,3.181626579990301,3.0277966800487692,3.383916666666667,3.4035306156291916,3.385743020552277,3.6510959492386337,3.3882047272362934,0.15,4.078633419120734
2020-10-01,12,mantoverde,SM,0,4.92,3.915,3.3904638588109006,3.3609528889871356,3.5837788667144443,3.182036348924167,3.0210548120295226,3.383916666666667,3.27487370146848,3.2517308574718577,3.5539111801973418,3.3356709117880676,0.2,4.07066334299553
2020-10-01,18,mantoverde,SM,0,4.271,3.915,3.3991574917059957,3.3609528889871356,3.5453270954675924,3.1821121405364545,3.0628705549870934,3.383916666666667,3.3454682308034003,3.327957802146806,3.6121477473437604,3.360314841570885,0.3,4.285744751053003
2020-10-01,24,mantoverde,SM,0,3.311,3.915,3.38292558521414,3.358154765409865,3.5243882878827995,3.1821140690896175,3.0633796828170294,3.383916666666667,3.4582129091855527,3.420270969247914,3.7651312012060982,3.4171118301967063,0.4,4.502130348139082
2020-10-01,30,mantoverde,SM,0,2.846,3.915,3.363879997337275,3.3627712279330226,3.487315619577842,3.1821141181625583,3.0426546729763584,3.383916666666667,3.3761255588985644,3.4283774091634687,3.7218459673404607,3.394917557085277,0.5,4.669507122269417
2020-10-01,36,mantoverde,SM,0,3.007,3.915,3.2122203202936777,3.3366507630626465,3.4489146557310186,3.182114119411242,3.042402335494275,3.383916666666667,3.2565977275485,3.3862769831768946,3.687879046017275,3.3464290798842846,0.6,4.78900264165658
2020-10-01,42,mantoverde,SM,0,2.62,3.915,3.208524986578832,3.325913017871762,3.42431387549602,3.182114119443016,3.0526742092592545,3.383916666666667,3.2515802430276786,3.4149193697857876,3.7174401365472574,3.3535165505107063,0.7,4.9657148898914425
2020-10-01,48,mantoverde,SM,0,6.30192595419825,3.915,3.2105536310323046,3.3216001918472946,3.373815376930723,3.182114119443824,3.0527992745201185,3.383916666666667,3.4297351385606474,3.5504084178352047,3.87192684827506,3.4476097335854226,0.8,5.2273159227628385
