Mine,ForecastDate,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
caserones,2028-12-01,36,45.762709386873446,15.225,25.690709386873444,23.276709386873446,15.225,2,Large,1,LargeColossal
caserones,2029-06-01,42,74.98270938687344,15.225,28.526709386873446,24.609709386873444,15.225,2,Large,1,LargeColossal
caserones,2029-12-01,48,66.75870938687345,15.225,26.373709386873443,27.410709386873446,15.225,2,Large,1,LargeColossal
caserones,2030-06-01,54,79.85170938687344,15.225,25.234709386873444,29.268709386873446,15.225,2,Large,1,LargeColossal
caserones,2030-12-01,60,75.19570938687345,15.225,23.758709386873445,35.51370938687345,15.225,2,Large,1,LargeColossal
caserones,2031-12-01,72,75.77370938687343,15.225,25.053709386873447,35.329709386873446,15.225,2,Large,1,LargeColossal
caserones,2032-12-01,84,70.15370938687344,15.225,24.200709386873445,38.04870938687345,15.225,2,Large,1,LargeColossal
centinela,2026-01-01,1,1.6275876881738252,5.308,0.908587688173825,4.000587688173825,5.308,2,Large,1,LargeColossal
centinela,2026-03-01,3,1.6625876881738249,5.308,1.434587688173825,3.662587688173825,5.308,2,Large,1,LargeColossal
centinela,2026-06-01,6,23.248587688173824,5.308,10.178587688173826,20.324587688173825,5.308,2,Large,1,LargeColossal
centinela,2026-09-01,9,2.133587688173825,5.308,1.6425876881738248,4.034587688173825,5.308,2,Large,1,LargeColossal
centinela,2026-12-01,12,26.324587688173825,5.308,10.047587688173826,23.316587688173826,5.308,2,Large,1,LargeColossal
centinela,2027-06-01,18,19.120587688173824,5.308,9.967587688173825,14.424587688173824,5.308,2,Large,1,LargeColossal
centinela,2027-12-01,24,27.672587688173824,5.308,10.946587688173825,16.232587688173826,5.308,2,Large,1,LargeColossal
centinela,2028-06-01,30,29.348587688173826,5.308,10.935587688173825,27.448587688173824,5.308,2,Large,1,LargeColossal
centinela,2028-12-01,36,27.504587688173824,5.308,11.143587688173826,23.660587688173823,5.308,2,Large,1,LargeColossal
centinela,2029-06-01,42,28.200587688173826,5.308,11.537587688173826,25.924587688173826,5.308,2,Large,1,LargeColossal
centinela,2029-12-01,48,25.721587688173823,5.308,11.101587688173826,27.506587688173823,5.308,2,Large,1,LargeColossal
centinela,2030-06-01,54,26.326587688173824,5.308,11.614587688173826,26.036587688173825,5.308,2,Large,1,LargeColossal
centinela,2030-12-01,60,25.893587688173824,5.308,10.711587688173825,27.817587688173823,5.308,2,Large,1,LargeColossal
centinela,2031-12-01,72,26.408587688173824,5.308,10.863587688173824,28.250587688173827,5.308,2,Large,1,LargeColossal
centinela,2032-12-01,84,26.449587688173825,5.308,10.867587688173826,27.123587688173824,5.308,2,Large,1,LargeColossal
centinela,2026-01-01,1,6.042587688173825,16.713,3.6085876881738246,13.394587688173825,16.713,2,Large,1,LargeColossal
centinela,2026-03-01,3,6.109587688173825,16.713,3.162587688173825,15.970587688173826,16.713,2,Large,1,LargeColossal
centinela,2026-06-01,6,43.32658768817383,16.713,25.327587688173825,18.233587688173824,16.713,2,Large,1,LargeColossal
centinela,2026-09-01,9,8.268587688173826,16.713,4.740587688173825,17.447587688173826,16.713,2,Large,1,LargeColossal
centinela,2026-12-01,12,43.502587688173826,16.713,28.910587688173823,16.999587688173825,16.713,2,Large,1,LargeColossal
centinela,2027-06-01,18,44.502587688173826,16.713,17.404587688173827,16.672587688173824,16.713,2,Large,1,LargeColossal
centinela,2027-12-01,24,51.21958768817383,16.713,23.975587688173825,19.285587688173823,16.713,2,Large,1,LargeColossal
centinela,2028-06-01,30,52.84558768817383,16.713,28.541587688173824,24.965587688173827,16.713,2,Large,1,LargeColossal
centinela,2028-12-01,36,50.185587688173825,16.713,26.899587688173824,25.514587688173826,16.713,2,Large,1,LargeColossal
centinela,2029-06-01,42,83.65858768817382,16.713,29.244587688173826,27.636587688173826,16.713,2,Large,1,LargeColossal
centinela,2029-12-01,48,85.03958768817382,16.713,27.048587688173825,24.219587688173824,16.713,2,Large,1,LargeColossal
centinela,2030-06-01,54,82.61358768817382,16.713,27.058587688173827,22.645587688173826,16.713,2,Large,1,LargeColossal
centinela,2030-12-01,60,82.14858768817383,16.713,25.972587688173824,25.065587688173824,16.713,2,Large,1,LargeColossal
centinela,2031-12-01,72,80.92358768817382,16.713,26.310587688173825,33.93058768817383,16.713,2,Large,1,LargeColossal
centinela,2032-12-01,84,78.86558768817383,16.713,26.076587688173824,31.367587688173824,16.713,2,Large,1,LargeColossal
chuquicamata,2026-01-01,1,14.291180522427277,49.033,8.262180522427277,34.16818052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2026-03-01,3,13.966180522427278,49.033,7.280180522427278,37.68218052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2026-06-01,6,107.45418052242727,49.033,48.83018052242728,52.49118052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2026-09-01,9,20.178180522427276,49.033,9.284180522427276,38.980180522427275,49.033,3,Colossal,2,LargeColossal
chuquicamata,2026-12-01,12,91.00618052242727,49.033,67.08918052242727,54.08018052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2027-06-01,18,100.07718052242727,49.033,62.35618052242727,66.42718052242726,49.033,3,Colossal,2,LargeColossal
chuquicamata,2027-12-01,24,108.83618052242727,49.033,92.19318052242727,71.72818052242727,49.033,3,Colossal,2,LargeColossal
chuquicamata,2028-06-01,30,100.40918052242728,49.033,61.92918052242728,69.48518052242727,49.033,3,Colossal,2,LargeColossal
chuquicamata,2028-12-01,36,117.27318052242727,49.033,91.51618052242728,78.79718052242727,49.033,3,Colossal,2,LargeColossal
chuquicamata,2029-06-01,42,213.93318052242728,49.033,99.72618052242727,75.73918052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2029-12-01,48,204.28018052242726,49.033,95.30018052242727,85.34218052242727,49.033,3,Colossal,2,LargeColossal
chuquicamata,2030-06-01,54,231.50018052242726,49.033,100.77218052242728,88.59018052242727,49.033,3,Colossal,2,LargeColossal
chuquicamata,2030-12-01,60,228.98918052242726,49.033,90.92618052242727,106.68618052242726,49.033,3,Colossal,2,LargeColossal
chuquicamata,2031-12-01,72,233.88118052242726,49.033,94.02318052242727,111.50418052242728,49.033,3,Colossal,2,LargeColossal
chuquicamata,2032-12-01,84,216.23118052242728,49.033,91.66818052242728,116.36018052242727,49.033,3,Colossal,2,LargeColossal
collahuasi,2026-01-01,1,20.220866441651808,36.159,12.138866441651809,25.87286644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2026-03-01,3,19.54886644165181,36.159,6.695866441651807,26.075866441651804,36.159,3,Colossal,2,LargeColossal
collahuasi,2026-06-01,6,35.3328664416518,36.159,56.56986644165181,33.1438664416518,36.159,3,Colossal,2,LargeColossal
collahuasi,2026-09-01,9,9.405866441651808,36.159,0.8038664416518078,22.62886644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2026-12-01,12,94.7408664416518,36.159,52.32186644165181,51.206866441651805,36.159,3,Colossal,2,LargeColossal
collahuasi,2027-06-01,18,99.57586644165181,36.159,72.2848664416518,44.1098664416518,36.159,3,Colossal,2,LargeColossal
collahuasi,2027-12-01,24,97.1308664416518,36.159,68.6898664416518,48.315866441651806,36.159,3,Colossal,2,LargeColossal
collahuasi,2028-06-01,30,92.1808664416518,36.159,66.2878664416518,50.33986644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2028-12-01,36,83.2798664416518,36.159,64.61686644165181,48.169866441651806,36.159,3,Colossal,2,LargeColossal
collahuasi,2029-06-01,42,98.7878664416518,36.159,71.99186644165181,47.57186644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2029-12-01,48,135.3618664416518,36.159,68.4848664416518,70.7048664416518,36.159,3,Colossal,2,LargeColossal
collahuasi,2030-06-01,54,158.20986644165183,36.159,66.8298664416518,57.7848664416518,36.159,3,Colossal,2,LargeColossal
collahuasi,2030-12-01,60,163.15586644165182,36.159,62.70586644165181,69.35486644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2031-12-01,72,161.45486644165183,36.159,62.4698664416518,60.73586644165181,36.159,3,Colossal,2,LargeColossal
collahuasi,2032-12-01,84,157.95986644165183,36.159,63.35786644165181,76.03686644165181,36.159,3,Colossal,2,LargeColossal
el abra,2026-01-01,1,8.176413055088846,7.62,7.562413055088846,9.504413055088845,7.62,1,Medium,2,SmallMed
el abra,2026-03-01,3,7.645413055088846,7.62,7.332413055088845,9.268413055088844,7.62,1,Medium,2,SmallMed
el abra,2026-06-01,6,13.582413055088846,7.62,9.365413055088846,10.260413055088845,7.62,1,Medium,2,SmallMed
el abra,2026-09-01,9,6.853413055088845,7.62,6.002413055088845,9.478413055088845,7.62,1,Medium,2,SmallMed
el abra,2026-12-01,12,16.927413055088845,7.62,9.093413055088845,10.132413055088845,7.62,1,Medium,2,SmallMed
el abra,2027-06-01,18,14.378413055088846,7.62,8.576413055088844,9.727413055088846,7.62,1,Medium,2,SmallMed
el abra,2027-12-01,24,16.827413055088844,7.62,8.308413055088845,9.222413055088845,7.62,1,Medium,2,SmallMed
el abra,2028-06-01,30,16.438413055088844,7.62,8.326413055088844,9.569413055088846,7.62,1,Medium,2,SmallMed
el abra,2028-12-01,36,17.236413055088846,7.62,7.979413055088846,9.268413055088844,7.62,1,Medium,2,SmallMed
el abra,2029-06-01,42,17.431413055088846,7.62,8.082413055088844,9.748413055088845,7.62,1,Medium,2,SmallMed
el abra,2029-12-01,48,16.346413055088846,7.62,8.190413055088845,8.999413055088844,7.62,1,Medium,2,SmallMed
el abra,2030-06-01,54,18.829413055088846,7.62,8.108413055088844,9.049413055088845,7.62,1,Medium,2,SmallMed
el abra,2030-12-01,60,15.454413055088846,7.62,8.077413055088845,9.312413055088845,7.62,1,Medium,2,SmallMed
el abra,2031-12-01,72,15.275413055088846,7.62,7.7104130550888454,9.053413055088845,7.62,1,Medium,2,SmallMed
el abra,2032-12-01,84,14.705413055088846,7.62,7.639413055088846,9.074413055088845,7.62,1,Medium,2,SmallMed
el soldado,2026-01-01,1,3.845482320667034,3.312,2.668482320667034,4.263482320667034,3.312,0,Small,1,SmallMed
el soldado,2026-03-01,3,4.442482320667034,3.312,2.524482320667034,4.604482320667034,3.312,0,Small,1,SmallMed
el soldado,2026-06-01,6,2.466482320667034,3.312,2.942482320667034,3.429482320667034,3.312,0,Small,1,SmallMed
el soldado,2026-09-01,9,9.265482320667035,3.312,2.349482320667034,5.215482320667034,3.312,0,Small,1,SmallMed
el soldado,2026-12-01,12,2.394482320667034,3.312,2.322482320667034,3.337482320667034,3.312,0,Small,1,SmallMed
el soldado,2027-06-01,18,2.4754823206670338,3.312,1.814482320667034,3.362482320667034,3.312,0,Small,1,SmallMed
el soldado,2027-12-01,24,1.965482320667034,3.312,1.594482320667034,3.305482320667034,3.312,0,Small,1,SmallMed
el soldado,2028-06-01,30,2.105482320667034,3.312,1.584482320667034,3.255482320667034,3.312,0,Small,1,SmallMed
el soldado,2028-12-01,36,1.637482320667034,3.312,1.499482320667034,3.169482320667034,3.312,0,Small,1,SmallMed
el soldado,2029-06-01,42,1.728482320667034,3.312,1.673482320667034,3.197482320667034,3.312,0,Small,1,SmallMed
el soldado,2029-12-01,48,1.419482320667034,3.312,1.609482320667034,2.966482320667034,3.312,0,Small,1,SmallMed
el soldado,2030-06-01,54,1.501482320667034,3.312,1.659482320667034,3.033482320667034,3.312,0,Small,1,SmallMed
el soldado,2030-12-01,60,1.481482320667034,3.312,1.451482320667034,2.916482320667034,3.312,0,Small,1,SmallMed
el soldado,2031-12-01,72,1.567482320667034,3.312,1.811482320667034,2.983482320667034,3.312,0,Small,1,SmallMed
el soldado,2032-12-01,84,1.512482320667034,3.312,1.630482320667034,3.017482320667034,3.312,0,Small,1,SmallMed
el teniente,2026-01-01,1,15.007849693628552,28.587,9.685849693628553,19.667849693628554,28.587,3,Colossal,2,LargeColossal
el teniente,2026-03-01,3,12.265849693628551,28.587,4.063849693628553,20.265849693628553,28.587,3,Colossal,2,LargeColossal
el teniente,2026-06-01,6,69.25384969362855,28.587,43.658849693628554,24.538849693628556,28.587,3,Colossal,2,LargeColossal
el teniente,2026-09-01,9,6.0488496936285525,28.587,0.0,18.99284969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2026-12-01,12,66.26284969362855,28.587,44.90284969362855,25.745849693628557,28.587,3,Colossal,2,LargeColossal
el teniente,2027-06-01,18,58.65684969362856,28.587,48.56784969362855,28.130849693628555,28.587,3,Colossal,2,LargeColossal
el teniente,2027-12-01,24,87.50684969362855,28.587,49.23584969362855,31.65384969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2028-06-01,30,74.58784969362856,28.587,48.53184969362855,36.05584969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2028-12-01,36,69.98684969362856,28.587,47.176849693628554,31.186849693628552,28.587,3,Colossal,2,LargeColossal
el teniente,2029-06-01,42,117.51584969362855,28.587,51.691849693628555,35.801849693628554,28.587,3,Colossal,2,LargeColossal
el teniente,2029-12-01,48,119.18384969362855,28.587,48.61984969362855,36.75384969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2030-06-01,54,130.85384969362855,28.587,50.78484969362855,38.69384969362856,28.587,3,Colossal,2,LargeColossal
el teniente,2030-12-01,60,128.25884969362855,28.587,46.167849693628554,45.26384969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2031-12-01,72,130.68984969362853,28.587,45.87684969362856,45.59184969362855,28.587,3,Colossal,2,LargeColossal
el teniente,2032-12-01,84,124.26784969362855,28.587,45.977849693628556,50.16884969362855,28.587,3,Colossal,2,LargeColossal
escondida,2026-01-01,1,119.19851034857783,111.535,84.86751034857782,129.93451034857785,111.535,3,Colossal,2,LargeColossal
escondida,2026-03-01,3,116.93651034857783,111.535,73.51351034857782,130.15051034857782,111.535,3,Colossal,2,LargeColossal
escondida,2026-06-01,6,152.93251034857784,111.535,203.33351034857785,132.45751034857784,111.535,3,Colossal,2,LargeColossal
escondida,2026-09-01,9,75.95651034857782,111.535,49.79651034857783,132.74051034857783,111.535,3,Colossal,2,LargeColossal
escondida,2026-12-01,12,245.81651034857785,111.535,175.51651034857784,131.13151034857785,111.535,3,Colossal,2,LargeColossal
escondida,2027-06-01,18,291.41351034857786,111.535,222.31251034857783,136.44651034857785,111.535,3,Colossal,2,LargeColossal
escondida,2027-12-01,24,343.2975103485778,111.535,221.14951034857785,142.12651034857785,111.535,3,Colossal,2,LargeColossal
escondida,2028-06-01,30,269.0765103485778,111.535,198.42551034857783,133.00051034857785,111.535,3,Colossal,2,LargeColossal
escondida,2028-12-01,36,298.45551034857783,111.535,211.29551034857784,142.31651034857785,111.535,3,Colossal,2,LargeColossal
