ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB+RF,SARIMAX,0.6,0.5,0.55,0.4,22.43,10.87,60.0,60.3,20,LGB+RF+SARIMAX SM=0.6/0.5 LC=0.4
LGB+RF,SARIMAX,0.6,0.5,0.55,0.5,22.1,13.37,59.9,61.1,21,LGB+RF+SARIMAX SM=0.6/0.5 LC=0.5
LGB+RF,SARIMAX,0.6,0.5,0.55,0.6,21.83,15.38,60.1,61.1,21,LGB+RF+SARIMAX SM=0.6/0.5 LC=0.6
LGB+RF,SARIMAX,0.6,0.5,0.55,0.7,21.64,16.84,59.7,60.5,22,LGB+RF+SARIMAX SM=0.6/0.5 LC=0.7
LGB+RF,SARIMAX,0.6,0.6,0.6,0.2,23.06,4.65,59.5,59.5,19,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.2
LGB+RF,SARIMAX,0.6,0.6,0.6,0.3,22.61,8.05,59.9,60.3,20,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.3
LGB+RF,SARIMAX,0.6,0.6,0.6,0.4,22.2,11.12,59.9,60.3,20,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.4
LGB+RF,SARIMAX,0.6,0.6,0.6,0.5,21.88,13.62,59.8,61.1,21,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.5
LGB+RF,SARIMAX,0.6,0.6,0.6,0.6,21.61,15.63,60.0,61.1,21,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.6
LGB+RF,SARIMAX,0.6,0.6,0.6,0.7,21.41,17.08,59.6,60.5,22,LGB+RF+SARIMAX SM=0.6/0.6 LC=0.7
LGB+RF,SARIMAX,0.6,0.7,0.65,0.2,22.89,4.82,59.7,59.9,19,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.2
LGB+RF,SARIMAX,0.6,0.7,0.65,0.3,22.43,8.22,60.0,60.7,20,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.3
LGB+RF,SARIMAX,0.6,0.7,0.65,0.4,22.02,11.29,60.0,60.7,20,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.4
LGB+RF,SARIMAX,0.6,0.7,0.65,0.5,21.7,13.79,59.9,61.5,21,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.5
LGB+RF,SARIMAX,0.6,0.7,0.65,0.6,21.43,15.8,60.1,61.5,21,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.6
LGB+RF,SARIMAX,0.6,0.7,0.65,0.7,21.23,17.26,59.7,60.9,22,LGB+RF+SARIMAX SM=0.6/0.7 LC=0.7
LGB+RF,SARIMAX,0.6,0.8,0.7,0.2,22.77,4.87,60.0,60.1,20,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.2
LGB+RF,SARIMAX,0.6,0.8,0.7,0.3,22.32,8.27,60.3,60.9,21,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.3
LGB+RF,SARIMAX,0.6,0.8,0.7,0.4,21.91,11.34,60.3,60.9,21,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.4
LGB+RF,SARIMAX,0.6,0.8,0.7,0.5,21.58,13.84,60.2,61.7,22,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.5
LGB+RF,SARIMAX,0.6,0.8,0.7,0.6,21.31,15.85,60.4,61.7,22,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.6
LGB+RF,SARIMAX,0.6,0.8,0.7,0.7,21.12,17.31,60.0,61.1,23,LGB+RF+SARIMAX SM=0.6/0.8 LC=0.7
LGB+RF,SARIMAX,0.6,0.9,0.75,0.2,22.74,4.77,60.2,60.3,20,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.2
LGB+RF,SARIMAX,0.6,0.9,0.75,0.3,22.28,8.16,60.5,61.1,21,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.3
LGB+RF,SARIMAX,0.6,0.9,0.75,0.4,21.87,11.24,60.5,61.1,21,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.4
LGB+RF,SARIMAX,0.6,0.9,0.75,0.5,21.55,13.74,60.4,61.9,22,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.5
LGB+RF,SARIMAX,0.6,0.9,0.75,0.6,21.28,15.75,60.6,61.9,22,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.6
LGB+RF,SARIMAX,0.6,0.9,0.75,0.7,21.08,17.2,60.2,61.3,23,LGB+RF+SARIMAX SM=0.6/0.9 LC=0.7
LGB+RF,SARIMAX,0.6,1.0,0.8,0.2,22.83,4.47,59.7,59.1,19,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.2
LGB+RF,SARIMAX,0.6,1.0,0.8,0.3,22.37,7.86,60.0,59.9,20,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.3
LGB+RF,SARIMAX,0.6,1.0,0.8,0.4,21.96,10.94,60.0,59.9,20,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.4
LGB+RF,SARIMAX,0.6,1.0,0.8,0.5,21.64,13.44,59.9,60.7,21,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.5
LGB+RF,SARIMAX,0.6,1.0,0.8,0.6,21.37,15.45,60.2,60.7,21,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.6
LGB+RF,SARIMAX,0.6,1.0,0.8,0.7,21.17,16.9,59.8,60.1,22,LGB+RF+SARIMAX SM=0.6/1.0 LC=0.7
LGB+RF,SARIMAX,0.7,0.5,0.6,0.2,23.31,4.41,59.3,59.5,19,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.2
LGB+RF,SARIMAX,0.7,0.5,0.6,0.3,22.86,7.8,59.6,60.3,20,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.3
LGB+RF,SARIMAX,0.7,0.5,0.6,0.4,22.45,10.88,59.6,60.3,20,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.4
LGB+RF,SARIMAX,0.7,0.5,0.6,0.5,22.12,13.38,59.5,61.1,21,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.5
LGB+RF,SARIMAX,0.7,0.5,0.6,0.6,21.85,15.39,59.7,61.1,21,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.6
LGB+RF,SARIMAX,0.7,0.5,0.6,0.7,21.66,16.84,59.3,60.5,22,LGB+RF+SARIMAX SM=0.7/0.5 LC=0.7
LGB+RF,SARIMAX,0.7,0.6,0.65,0.2,23.09,4.66,59.0,59.5,18,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.2
LGB+RF,SARIMAX,0.7,0.6,0.65,0.3,22.63,8.05,59.4,60.3,19,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.3
LGB+RF,SARIMAX,0.7,0.6,0.65,0.4,22.22,11.13,59.4,60.3,19,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.4
LGB+RF,SARIMAX,0.7,0.6,0.65,0.5,21.9,13.63,59.3,61.1,20,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.5
LGB+RF,SARIMAX,0.7,0.6,0.65,0.6,21.63,15.64,59.5,61.1,20,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.6
LGB+RF,SARIMAX,0.7,0.6,0.65,0.7,21.43,17.09,59.1,60.5,21,LGB+RF+SARIMAX SM=0.7/0.6 LC=0.7
LGB+RF,SARIMAX,0.7,0.7,0.7,0.2,22.91,4.83,59.3,59.9,18,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.2
LGB+RF,SARIMAX,0.7,0.7,0.7,0.3,22.45,8.22,59.6,60.7,19,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.3
LGB+RF,SARIMAX,0.7,0.7,0.7,0.4,22.05,11.3,59.6,60.7,19,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.4
LGB+RF,SARIMAX,0.7,0.7,0.7,0.5,21.72,13.8,59.5,61.5,20,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.5
LGB+RF,SARIMAX,0.7,0.7,0.7,0.6,21.45,15.81,59.7,61.5,20,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.6
LGB+RF,SARIMAX,0.7,0.7,0.7,0.7,21.25,17.26,59.3,60.9,21,LGB+RF+SARIMAX SM=0.7/0.7 LC=0.7
LGB+RF,SARIMAX,0.7,0.8,0.75,0.2,22.8,4.88,59.7,60.1,18,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.2
LGB+RF,SARIMAX,0.7,0.8,0.75,0.3,22.34,8.27,60.0,60.9,19,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.3
LGB+RF,SARIMAX,0.7,0.8,0.75,0.4,21.93,11.35,60.0,60.9,19,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.4
LGB+RF,SARIMAX,0.7,0.8,0.75,0.5,21.61,13.85,59.9,61.7,20,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.5
LGB+RF,SARIMAX,0.7,0.8,0.75,0.6,21.34,15.86,60.1,61.7,20,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.6
LGB+RF,SARIMAX,0.7,0.8,0.75,0.7,21.14,17.31,59.7,61.1,21,LGB+RF+SARIMAX SM=0.7/0.8 LC=0.7
LGB+RF,SARIMAX,0.7,0.9,0.8,0.2,22.76,4.78,59.8,60.3,18,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.2
LGB+RF,SARIMAX,0.7,0.9,0.8,0.3,22.31,8.17,60.1,61.1,19,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.3
LGB+RF,SARIMAX,0.7,0.9,0.8,0.4,21.9,11.25,60.1,61.1,19,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.4
LGB+RF,SARIMAX,0.7,0.9,0.8,0.5,21.57,13.75,60.0,61.9,20,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.5
LGB+RF,SARIMAX,0.7,0.9,0.8,0.6,21.3,15.76,60.2,61.9,20,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.6
LGB+RF,SARIMAX,0.7,0.9,0.8,0.7,21.11,17.21,59.8,61.3,21,LGB+RF+SARIMAX SM=0.7/0.9 LC=0.7
LGB+RF,SARIMAX,0.7,1.0,0.85,0.2,22.85,4.47,59.4,59.1,18,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.2
LGB+RF,SARIMAX,0.7,1.0,0.85,0.3,22.39,7.87,59.8,59.9,19,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.3
LGB+RF,SARIMAX,0.7,1.0,0.85,0.4,21.99,10.94,59.8,59.9,19,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.4
LGB+RF,SARIMAX,0.7,1.0,0.85,0.5,21.66,13.45,59.7,60.7,20,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.5
LGB+RF,SARIMAX,0.7,1.0,0.85,0.6,21.39,15.46,59.9,60.7,20,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.6
LGB+RF,SARIMAX,0.7,1.0,0.85,0.7,21.19,16.91,59.5,60.1,21,LGB+RF+SARIMAX SM=0.7/1.0 LC=0.7
LGB+RF,RollingMean,0.3,0.5,0.4,0.2,20.98,21.64,64.8,65.6,26,LGB+RF+RollingMean SM=0.3/0.5 LC=0.2
LGB+RF,RollingMean,0.3,0.5,0.4,0.3,20.72,23.11,65.0,65.6,26,LGB+RF+RollingMean SM=0.3/0.5 LC=0.3
LGB+RF,RollingMean,0.3,0.5,0.4,0.4,20.57,23.89,65.2,65.4,26,LGB+RF+RollingMean SM=0.3/0.5 LC=0.4
LGB+RF,RollingMean,0.3,0.5,0.4,0.5,20.52,24.06,65.4,65.6,25,LGB+RF+RollingMean SM=0.3/0.5 LC=0.5
LGB+RF,RollingMean,0.3,0.5,0.4,0.6,20.55,23.58,64.6,65.2,24,LGB+RF+RollingMean SM=0.3/0.5 LC=0.6
LGB+RF,RollingMean,0.3,0.5,0.4,0.7,20.65,22.64,63.5,64.0,24,LGB+RF+RollingMean SM=0.3/0.5 LC=0.7
LGB+RF,RollingMean,0.3,0.6,0.45,0.2,20.77,21.74,65.0,65.4,26,LGB+RF+RollingMean SM=0.3/0.6 LC=0.2
LGB+RF,RollingMean,0.3,0.6,0.45,0.3,20.51,23.21,65.2,65.4,26,LGB+RF+RollingMean SM=0.3/0.6 LC=0.3
LGB+RF,RollingMean,0.3,0.6,0.45,0.4,20.36,24.0,65.3,65.2,26,LGB+RF+RollingMean SM=0.3/0.6 LC=0.4
LGB+RF,RollingMean,0.3,0.6,0.45,0.5,20.31,24.16,65.5,65.4,25,LGB+RF+RollingMean SM=0.3/0.6 LC=0.5
LGB+RF,RollingMean,0.3,0.6,0.45,0.6,20.35,23.68,64.8,65.0,24,LGB+RF+RollingMean SM=0.3/0.6 LC=0.6
LGB+RF,RollingMean,0.3,0.6,0.45,0.7,20.45,22.74,63.7,63.8,24,LGB+RF+RollingMean SM=0.3/0.6 LC=0.7
LGB+RF,RollingMean,0.3,0.7,0.5,0.2,20.63,21.73,64.6,64.8,25,LGB+RF+RollingMean SM=0.3/0.7 LC=0.2
LGB+RF,RollingMean,0.3,0.7,0.5,0.3,20.38,23.2,64.8,64.8,25,LGB+RF+RollingMean SM=0.3/0.7 LC=0.3
LGB+RF,RollingMean,0.3,0.7,0.5,0.4,20.23,23.99,64.9,64.6,25,LGB+RF+RollingMean SM=0.3/0.7 LC=0.4
LGB+RF,RollingMean,0.3,0.7,0.5,0.5,20.17,24.15,65.2,64.8,24,LGB+RF+RollingMean SM=0.3/0.7 LC=0.5
LGB+RF,RollingMean,0.3,0.7,0.5,0.6,20.21,23.67,64.4,64.4,23,LGB+RF+RollingMean SM=0.3/0.7 LC=0.6
LGB+RF,RollingMean,0.3,0.7,0.5,0.7,20.31,22.73,63.3,63.2,23,LGB+RF+RollingMean SM=0.3/0.7 LC=0.7
LGB+RF,RollingMean,0.3,0.8,0.55,0.2,20.58,21.58,64.3,64.2,25,LGB+RF+RollingMean SM=0.3/0.8 LC=0.2
LGB+RF,RollingMean,0.3,0.8,0.55,0.3,20.32,23.05,64.5,64.2,25,LGB+RF+RollingMean SM=0.3/0.8 LC=0.3
LGB+RF,RollingMean,0.3,0.8,0.55,0.4,20.17,23.83,64.6,64.0,25,LGB+RF+RollingMean SM=0.3/0.8 LC=0.4
LGB+RF,RollingMean,0.3,0.8,0.55,0.5,20.12,24.0,64.8,64.2,24,LGB+RF+RollingMean SM=0.3/0.8 LC=0.5
LGB+RF,RollingMean,0.3,0.8,0.55,0.6,20.15,23.52,64.1,63.8,23,LGB+RF+RollingMean SM=0.3/0.8 LC=0.6
LGB+RF,RollingMean,0.3,0.8,0.55,0.7,20.25,22.58,63.0,62.6,23,LGB+RF+RollingMean SM=0.3/0.8 LC=0.7
LGB+RF,RollingMean,0.3,0.9,0.6,0.2,20.62,21.29,64.2,63.8,25,LGB+RF+RollingMean SM=0.3/0.9 LC=0.2
LGB+RF,RollingMean,0.3,0.9,0.6,0.3,20.36,22.76,64.4,63.8,25,LGB+RF+RollingMean SM=0.3/0.9 LC=0.3
LGB+RF,RollingMean,0.3,0.9,0.6,0.4,20.21,23.54,64.5,63.6,25,LGB+RF+RollingMean SM=0.3/0.9 LC=0.4
LGB+RF,RollingMean,0.3,0.9,0.6,0.5,20.16,23.71,64.8,63.8,24,LGB+RF+RollingMean SM=0.3/0.9 LC=0.5
LGB+RF,RollingMean,0.3,0.9,0.6,0.6,20.19,23.22,64.0,63.4,23,LGB+RF+RollingMean SM=0.3/0.9 LC=0.6
LGB+RF,RollingMean,0.3,0.9,0.6,0.7,20.29,22.28,62.9,62.1,23,LGB+RF+RollingMean SM=0.3/0.9 LC=0.7
LGB+RF,RollingMean,0.3,1.0,0.65,0.2,20.75,20.9,63.5,62.6,25,LGB+RF+RollingMean SM=0.3/1.0 LC=0.2
LGB+RF,RollingMean,0.3,1.0,0.65,0.3,20.49,22.37,63.7,62.6,25,LGB+RF+RollingMean SM=0.3/1.0 LC=0.3
LGB+RF,RollingMean,0.3,1.0,0.65,0.4,20.34,23.15,63.8,62.3,25,LGB+RF+RollingMean SM=0.3/1.0 LC=0.4
LGB+RF,RollingMean,0.3,1.0,0.65,0.5,20.29,23.32,64.0,62.6,24,LGB+RF+RollingMean SM=0.3/1.0 LC=0.5
LGB+RF,RollingMean,0.3,1.0,0.65,0.6,20.32,22.84,63.3,62.1,23,LGB+RF+RollingMean SM=0.3/1.0 LC=0.6
LGB+RF,RollingMean,0.3,1.0,0.65,0.7,20.42,21.9,62.2,60.9,23,LGB+RF+RollingMean SM=0.3/1.0 LC=0.7
LGB+RF,RollingMean,0.4,0.5,0.45,0.2,20.98,21.66,64.9,65.6,26,LGB+RF+RollingMean SM=0.4/0.5 LC=0.2
LGB+RF,RollingMean,0.4,0.5,0.45,0.3,20.72,23.13,65.1,65.6,26,LGB+RF+RollingMean SM=0.4/0.5 LC=0.3
LGB+RF,RollingMean,0.4,0.5,0.45,0.4,20.58,23.91,65.2,65.4,26,LGB+RF+RollingMean SM=0.4/0.5 LC=0.4
LGB+RF,RollingMean,0.4,0.5,0.45,0.5,20.52,24.08,65.4,65.6,25,LGB+RF+RollingMean SM=0.4/0.5 LC=0.5
LGB+RF,RollingMean,0.4,0.5,0.45,0.6,20.56,23.59,64.7,65.2,24,LGB+RF+RollingMean SM=0.4/0.5 LC=0.6
LGB+RF,RollingMean,0.4,0.5,0.45,0.7,20.66,22.65,63.6,64.0,24,LGB+RF+RollingMean SM=0.4/0.5 LC=0.7
LGB+RF,RollingMean,0.4,0.6,0.5,0.2,20.78,21.76,65.1,65.4,26,LGB+RF+RollingMean SM=0.4/0.6 LC=0.2
LGB+RF,RollingMean,0.4,0.6,0.5,0.3,20.52,23.23,65.3,65.4,26,LGB+RF+RollingMean SM=0.4/0.6 LC=0.3
LGB+RF,RollingMean,0.4,0.6,0.5,0.4,20.37,24.01,65.4,65.2,26,LGB+RF+RollingMean SM=0.4/0.6 LC=0.4
LGB+RF,RollingMean,0.4,0.6,0.5,0.5,20.32,24.18,65.7,65.4,25,LGB+RF+RollingMean SM=0.4/0.6 LC=0.5
LGB+RF,RollingMean,0.4,0.6,0.5,0.6,20.35,23.7,64.9,65.0,24,LGB+RF+RollingMean SM=0.4/0.6 LC=0.6
LGB+RF,RollingMean,0.4,0.6,0.5,0.7,20.45,22.76,63.8,63.8,24,LGB+RF+RollingMean SM=0.4/0.6 LC=0.7
LGB+RF,RollingMean,0.4,0.7,0.55,0.2,20.64,21.75,64.6,64.8,25,LGB+RF+RollingMean SM=0.4/0.7 LC=0.2
LGB+RF,RollingMean,0.4,0.7,0.55,0.3,20.38,23.22,64.8,64.8,25,LGB+RF+RollingMean SM=0.4/0.7 LC=0.3
LGB+RF,RollingMean,0.4,0.7,0.55,0.4,20.24,24.0,64.9,64.6,25,LGB+RF+RollingMean SM=0.4/0.7 LC=0.4
LGB+RF,RollingMean,0.4,0.7,0.55,0.5,20.18,24.17,65.2,64.8,24,LGB+RF+RollingMean SM=0.4/0.7 LC=0.5
LGB+RF,RollingMean,0.4,0.7,0.55,0.6,20.22,23.68,64.4,64.4,23,LGB+RF+RollingMean SM=0.4/0.7 LC=0.6
LGB+RF,RollingMean,0.4,0.7,0.55,0.7,20.32,22.75,63.3,63.2,23,LGB+RF+RollingMean SM=0.4/0.7 LC=0.7
LGB+RF,RollingMean,0.4,0.8,0.6,0.2,20.59,21.59,64.3,64.2,25,LGB+RF+RollingMean SM=0.4/0.8 LC=0.2
LGB+RF,RollingMean,0.4,0.8,0.6,0.3,20.33,23.06,64.5,64.2,25,LGB+RF+RollingMean SM=0.4/0.8 LC=0.3
LGB+RF,RollingMean,0.4,0.8,0.6,0.4,20.18,23.85,64.6,64.0,25,LGB+RF+RollingMean SM=0.4/0.8 LC=0.4
LGB+RF,RollingMean,0.4,0.8,0.6,0.5,20.13,24.01,64.9,64.2,24,LGB+RF+RollingMean SM=0.4/0.8 LC=0.5
LGB+RF,RollingMean,0.4,0.8,0.6,0.6,20.16,23.53,64.1,63.8,23,LGB+RF+RollingMean SM=0.4/0.8 LC=0.6
LGB+RF,RollingMean,0.4,0.8,0.6,0.7,20.26,22.59,63.0,62.6,23,LGB+RF+RollingMean SM=0.4/0.8 LC=0.7
LGB+RF,RollingMean,0.4,0.9,0.65,0.2,20.63,21.3,64.3,63.8,25,LGB+RF+RollingMean SM=0.4/0.9 LC=0.2
LGB+RF,RollingMean,0.4,0.9,0.65,0.3,20.37,22.77,64.5,63.8,25,LGB+RF+RollingMean SM=0.4/0.9 LC=0.3
LGB+RF,RollingMean,0.4,0.9,0.65,0.4,20.22,23.55,64.6,63.6,25,LGB+RF+RollingMean SM=0.4/0.9 LC=0.4
LGB+RF,RollingMean,0.4,0.9,0.65,0.5,20.17,23.72,64.8,63.8,24,LGB+RF+RollingMean SM=0.4/0.9 LC=0.5
LGB+RF,RollingMean,0.4,0.9,0.65,0.6,20.2,23.24,64.1,63.4,23,LGB+RF+RollingMean SM=0.4/0.9 LC=0.6
LGB+RF,RollingMean,0.4,0.9,0.65,0.7,20.3,22.3,63.0,62.1,23,LGB+RF+RollingMean SM=0.4/0.9 LC=0.7
LGB+RF,RollingMean,0.4,1.0,0.7,0.2,20.76,20.91,63.5,62.6,25,LGB+RF+RollingMean SM=0.4/1.0 LC=0.2
LGB+RF,RollingMean,0.4,1.0,0.7,0.3,20.5,22.38,63.7,62.6,25,LGB+RF+RollingMean SM=0.4/1.0 LC=0.3
LGB+RF,RollingMean,0.4,1.0,0.7,0.4,20.35,23.16,63.9,62.3,25,LGB+RF+RollingMean SM=0.4/1.0 LC=0.4
LGB+RF,RollingMean,0.4,1.0,0.7,0.5,20.3,23.33,64.1,62.6,24,LGB+RF+RollingMean SM=0.4/1.0 LC=0.5
LGB+RF,RollingMean,0.4,1.0,0.7,0.6,20.33,22.85,63.4,62.1,23,LGB+RF+RollingMean SM=0.4/1.0 LC=0.6
LGB+RF,RollingMean,0.4,1.0,0.7,0.7,20.43,21.91,62.2,60.9,23,LGB+RF+RollingMean SM=0.4/1.0 LC=0.7
LGB+RF,RollingMean,0.5,0.5,0.5,0.2,21.01,21.64,64.8,65.6,26,LGB+RF+RollingMean SM=0.5/0.5 LC=0.2
LGB+RF,RollingMean,0.5,0.5,0.5,0.3,20.75,23.11,65.0,65.6,26,LGB+RF+RollingMean SM=0.5/0.5 LC=0.3
LGB+RF,RollingMean,0.5,0.5,0.5,0.4,20.6,23.89,65.2,65.4,26,LGB+RF+RollingMean SM=0.5/0.5 LC=0.4
LGB+RF,RollingMean,0.5,0.5,0.5,0.5,20.55,24.06,65.4,65.6,25,LGB+RF+RollingMean SM=0.5/0.5 LC=0.5
LGB+RF,RollingMean,0.5,0.5,0.5,0.6,20.58,23.58,64.6,65.2,24,LGB+RF+RollingMean SM=0.5/0.5 LC=0.6
LGB+RF,RollingMean,0.5,0.5,0.5,0.7,20.68,22.64,63.5,64.0,24,LGB+RF+RollingMean SM=0.5/0.5 LC=0.7
LGB+RF,RollingMean,0.5,0.6,0.55,0.2,20.8,21.74,64.9,65.4,26,LGB+RF+RollingMean SM=0.5/0.6 LC=0.2
LGB+RF,RollingMean,0.5,0.6,0.55,0.3,20.54,23.21,65.2,65.4,26,LGB+RF+RollingMean SM=0.5/0.6 LC=0.3
LGB+RF,RollingMean,0.5,0.6,0.55,0.4,20.4,23.99,65.3,65.2,26,LGB+RF+RollingMean SM=0.5/0.6 LC=0.4
LGB+RF,RollingMean,0.5,0.6,0.55,0.5,20.34,24.16,65.5,65.4,25,LGB+RF+RollingMean SM=0.5/0.6 LC=0.5
LGB+RF,RollingMean,0.5,0.6,0.55,0.6,20.38,23.68,64.8,65.0,24,LGB+RF+RollingMean SM=0.5/0.6 LC=0.6
LGB+RF,RollingMean,0.5,0.6,0.55,0.7,20.48,22.74,63.6,63.8,24,LGB+RF+RollingMean SM=0.5/0.6 LC=0.7
LGB+RF,RollingMean,0.5,0.7,0.6,0.2,20.67,21.73,64.5,64.8,25,LGB+RF+RollingMean SM=0.5/0.7 LC=0.2
LGB+RF,RollingMean,0.5,0.7,0.6,0.3,20.41,23.2,64.7,64.8,25,LGB+RF+RollingMean SM=0.5/0.7 LC=0.3
LGB+RF,RollingMean,0.5,0.7,0.6,0.4,20.26,23.98,64.8,64.6,25,LGB+RF+RollingMean SM=0.5/0.7 LC=0.4
LGB+RF,RollingMean,0.5,0.7,0.6,0.5,20.21,24.15,65.0,64.8,24,LGB+RF+RollingMean SM=0.5/0.7 LC=0.5
LGB+RF,RollingMean,0.5,0.7,0.6,0.6,20.24,23.66,64.3,64.4,23,LGB+RF+RollingMean SM=0.5/0.7 LC=0.6
LGB+RF,RollingMean,0.5,0.7,0.6,0.7,20.34,22.72,63.2,63.2,23,LGB+RF+RollingMean SM=0.5/0.7 LC=0.7
LGB+RF,RollingMean,0.5,0.8,0.65,0.2,20.62,21.57,64.2,64.2,25,LGB+RF+RollingMean SM=0.5/0.8 LC=0.2
LGB+RF,RollingMean,0.5,0.8,0.65,0.3,20.36,23.04,64.4,64.2,25,LGB+RF+RollingMean SM=0.5/0.8 LC=0.3
LGB+RF,RollingMean,0.5,0.8,0.65,0.4,20.21,23.82,64.5,64.0,25,LGB+RF+RollingMean SM=0.5/0.8 LC=0.4
LGB+RF,RollingMean,0.5,0.8,0.65,0.5,20.15,23.99,64.8,64.2,24,LGB+RF+RollingMean SM=0.5/0.8 LC=0.5
LGB+RF,RollingMean,0.5,0.8,0.65,0.6,20.19,23.51,64.0,63.8,23,LGB+RF+RollingMean SM=0.5/0.8 LC=0.6
LGB+RF,RollingMean,0.5,0.8,0.65,0.7,20.29,22.57,62.9,62.6,23,LGB+RF+RollingMean SM=0.5/0.8 LC=0.7
LGB+RF,RollingMean,0.5,0.9,0.7,0.2,20.66,21.27,64.1,63.8,25,LGB+RF+RollingMean SM=0.5/0.9 LC=0.2
LGB+RF,RollingMean,0.5,0.9,0.7,0.3,20.4,22.75,64.4,63.8,25,LGB+RF+RollingMean SM=0.5/0.9 LC=0.3
LGB+RF,RollingMean,0.5,0.9,0.7,0.4,20.25,23.53,64.5,63.6,25,LGB+RF+RollingMean SM=0.5/0.9 LC=0.4
LGB+RF,RollingMean,0.5,0.9,0.7,0.5,20.2,23.7,64.7,63.8,24,LGB+RF+RollingMean SM=0.5/0.9 LC=0.5
LGB+RF,RollingMean,0.5,0.9,0.7,0.6,20.23,23.21,64.0,63.4,23,LGB+RF+RollingMean SM=0.5/0.9 LC=0.6
LGB+RF,RollingMean,0.5,0.9,0.7,0.7,20.33,22.27,62.9,62.1,23,LGB+RF+RollingMean SM=0.5/0.9 LC=0.7
LGB+RF,RollingMean,0.5,1.0,0.75,0.2,20.79,20.88,63.4,62.6,24,LGB+RF+RollingMean SM=0.5/1.0 LC=0.2
LGB+RF,RollingMean,0.5,1.0,0.75,0.3,20.53,22.36,63.6,62.6,24,LGB+RF+RollingMean SM=0.5/1.0 LC=0.3
LGB+RF,RollingMean,0.5,1.0,0.75,0.4,20.38,23.14,63.7,62.3,24,LGB+RF+RollingMean SM=0.5/1.0 LC=0.4
LGB+RF,RollingMean,0.5,1.0,0.75,0.5,20.33,23.31,64.0,62.6,23,LGB+RF+RollingMean SM=0.5/1.0 LC=0.5
LGB+RF,RollingMean,0.5,1.0,0.75,0.6,20.36,22.82,63.2,62.1,22,LGB+RF+RollingMean SM=0.5/1.0 LC=0.6
LGB+RF,RollingMean,0.5,1.0,0.75,0.7,20.46,21.88,62.1,60.9,22,LGB+RF+RollingMean SM=0.5/1.0 LC=0.7
LGB+RF,RollingMean,0.6,0.5,0.55,0.2,21.05,21.58,64.3,65.6,25,LGB+RF+RollingMean SM=0.6/0.5 LC=0.2
