ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.5,0.5,0.5,0.7,21.18,19.02,61.8,63.6,23,LGB+ARIMA SM=0.5/0.5 LC=0.7
LGB,ARIMA,0.5,0.6,0.55,0.2,20.96,21.37,63.7,64.6,25,LGB+ARIMA SM=0.5/0.6 LC=0.2
LGB,ARIMA,0.5,0.6,0.55,0.3,20.83,21.96,63.3,64.4,24,LGB+ARIMA SM=0.5/0.6 LC=0.3
LGB,ARIMA,0.5,0.6,0.55,0.4,20.79,22.09,63.4,65.0,24,LGB+ARIMA SM=0.5/0.6 LC=0.4
LGB,ARIMA,0.5,0.6,0.55,0.5,20.82,21.49,63.3,65.2,24,LGB+ARIMA SM=0.5/0.6 LC=0.5
LGB,ARIMA,0.5,0.6,0.55,0.6,20.91,20.43,62.5,63.8,23,LGB+ARIMA SM=0.5/0.6 LC=0.6
LGB,ARIMA,0.5,0.6,0.55,0.7,21.04,19.07,61.7,63.2,23,LGB+ARIMA SM=0.5/0.6 LC=0.7
LGB,ARIMA,0.5,0.7,0.6,0.2,20.87,21.32,63.2,63.4,25,LGB+ARIMA SM=0.5/0.7 LC=0.2
LGB,ARIMA,0.5,0.7,0.6,0.3,20.75,21.91,62.8,63.2,24,LGB+ARIMA SM=0.5/0.7 LC=0.3
LGB,ARIMA,0.5,0.7,0.6,0.4,20.7,22.04,62.9,63.8,24,LGB+ARIMA SM=0.5/0.7 LC=0.4
LGB,ARIMA,0.5,0.7,0.6,0.5,20.73,21.43,62.8,64.0,24,LGB+ARIMA SM=0.5/0.7 LC=0.5
LGB,ARIMA,0.5,0.7,0.6,0.6,20.83,20.38,62.0,62.6,23,LGB+ARIMA SM=0.5/0.7 LC=0.6
LGB,ARIMA,0.5,0.7,0.6,0.7,20.96,19.02,61.2,61.9,23,LGB+ARIMA SM=0.5/0.7 LC=0.7
LGB,ARIMA,0.5,0.8,0.65,0.2,20.84,21.15,63.2,63.4,25,LGB+ARIMA SM=0.5/0.8 LC=0.2
LGB,ARIMA,0.5,0.8,0.65,0.3,20.72,21.74,62.7,63.2,24,LGB+ARIMA SM=0.5/0.8 LC=0.3
LGB,ARIMA,0.5,0.8,0.65,0.4,20.67,21.87,62.8,63.8,24,LGB+ARIMA SM=0.5/0.8 LC=0.4
LGB,ARIMA,0.5,0.8,0.65,0.5,20.71,21.27,62.7,64.0,24,LGB+ARIMA SM=0.5/0.8 LC=0.5
LGB,ARIMA,0.5,0.8,0.65,0.6,20.8,20.21,61.9,62.6,23,LGB+ARIMA SM=0.5/0.8 LC=0.6
LGB,ARIMA,0.5,0.8,0.65,0.7,20.93,18.85,61.2,61.9,23,LGB+ARIMA SM=0.5/0.8 LC=0.7
LGB,ARIMA,0.5,0.9,0.7,0.2,20.91,20.85,63.0,63.0,24,LGB+ARIMA SM=0.5/0.9 LC=0.2
