Origin,Horizonte,Mine,Segment,Mine_Size,Actual,Naive,LGB,RF,XGB,ARIMA,SARIMAX,RollingMean
2018-01-01,6,mantos blancos,SM,0,3.926,3.569,3.9096576495270856,3.9129114651290604,4.010151279870463,3.7786790865154964,3.8791521819302135,4.178888888888888
2018-01-01,6,mantoverde,SM,0,3.601,3.065,3.5641428411306975,3.6324737802170706,3.480792600661497,3.3666842202418157,3.06075494310358,3.8912222222222215
2018-01-01,6,ministro hales,LC,2,15.6,23.8,18.0065194487367,17.68274837265736,18.253065494978536,17.09380660949698,18.76076221123593,19.049999999999997
2018-01-01,6,ojos del salado,SM,0,2.8,2.1,2.1608600653994174,2.184549446790534,2.3280897378456373,2.2272544709416615,2.3910371512011706,2.1416666666666666
2018-01-01,6,otros,LC,2,10.832,11.749,11.093524634475495,11.457539427633733,11.549681250021422,11.160258881213613,10.845338465082722,11.419027777777778
2018-01-01,6,radomiro tomic,LC,3,28.301,25.704,25.9765154775956,28.346117109498785,26.535834275844238,26.89469282882882,0.3240616646255896,26.642305555555556
2018-01-01,6,salvador,SM,0,4.0,4.3,5.090544993836941,5.3748082709138725,4.804853739451505,5.220447415178378,5.816779653202711,4.783333333333333
2018-01-01,6,sierra gorda,SM,1,7.9,7.8,8.051733895481757,8.101417004716872,8.037557371250466,7.903407884347687,8.006277261123847,7.96111111111111
2018-01-01,6,zaldivar,SM,1,8.0,8.7,8.643078462394858,8.442509305625741,8.58828742351171,8.52357542920297,0.0,8.583333333333336
2018-01-01,9,andacollo,SM,1,5.7,8.4,6.925701044622637,6.311490704485779,6.311643478127632,6.121401467111866,6.473051145521583,6.166666666666667
2018-01-01,9,andina,LC,2,17.3,19.5,17.51753304131158,17.41466024698098,17.7955740291328,19.064761547099724,19.057884804679325,17.741666666666664
2018-01-01,9,antucoya,SM,1,6.7,6.7,5.20876537392409,5.279453615967747,5.40232577408369,5.051484048951111,5.051484048951111,4.541666666666667
2018-01-01,9,atacama kozan,SM,0,1.1,1.0,0.9644340470519752,0.9539703775412893,0.9002710265853563,0.9475911067984532,0.931653562472167,1.0333333333333332
2018-01-01,9,candelaria,LC,2,8.7,9.4,11.26378752443478,13.195357114223453,11.838616583801766,10.320614280836123,10.21298745022935,11.947222222222221
2018-01-01,9,caserones,LC,2,11.9,13.0,10.596548582139231,10.770056194112081,10.732010106591765,11.115358652095278,10.664180523388216,8.930555555555555
2018-01-01,9,centinela_oxidos,SM,1,8.1,5.3,6.445768048740467,6.403619867118391,6.826523303786455,7.938854097036417,7.973304560388857,5.4444444444444455
2018-01-01,9,centinela_sulfuros,LC,2,16.7,16.4,13.873664081724417,14.09586233725827,14.17882330187095,13.604409375312505,0.0,13.413888888888888
2018-01-01,9,cerro colorado,SM,0,6.8,5.4,5.7113952423573515,5.800012429361596,6.410493958282517,5.842801709298932,634.1885220643834,5.897222222222222
2018-01-01,9,chuquicamata,LC,3,25.448,15.228,42.58654727898701,32.72475292171481,34.50908486877944,26.399154836685973,45.33340637038842,26.190527777777774
2018-01-01,9,collahuasi,LC,3,49.1,44.4,45.49987256389824,49.34678670822868,49.08794171667808,47.202762637780594,53.85395419772486,41.69166666666666
2018-01-01,9,el abra,SM,1,7.6,6.9,7.718383076013506,7.646255755961334,8.24743410875494,7.249370965308443,7.286073736996582,8.852777777777778
