Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-01-01,24,los bronces,LC,20.815,22.477019761678594,20.858
2018-01-01,24,los pelambres,LC,29.774,26.559283545752812,28.1
2018-01-01,24,mantos blancos,SM,3.554,3.1081915207183273,3.569
2018-01-01,24,mantoverde,SM,3.299,4.034959000167689,3.065
2018-01-01,24,ministro hales,LC,14.335,12.871581369147924,23.8
2018-01-01,24,ojos del salado,SM,2.573,2.181005694410362,2.1
2018-01-01,24,otros,LC,8.901,11.220965689217568,11.749
2018-01-01,24,radomiro tomic,LC,19.9,20.86117249141579,25.704
2018-01-01,24,salvador,SM,2.34,5.108728589634272,4.3
2018-01-01,24,sierra gorda,SM,10.715,12.501937962095838,7.8
2018-01-01,24,zaldivar,SM,9.951,6.760873859821074,8.7
2018-01-01,30,andacollo,SM,3.028,3.742717200247775,8.4
2018-01-01,30,andina,LC,14.282,15.25051099721091,19.5
2018-01-01,30,antucoya,SM,5.5,6.6676494043522005,6.7
2018-01-01,30,atacama kozan,SM,1.62,1.1153911778722403,1.0
2018-01-01,30,candelaria,LC,10.129,9.371855453996922,9.4
2018-01-01,30,caserones,LC,9.481,11.266664867826924,13.0
2018-01-01,30,centinela_oxidos,SM,7.874,7.458069334403161,5.3
2018-01-01,30,centinela_sulfuros,LC,9.824,11.438290301288033,16.4
2018-01-01,30,cerro colorado,SM,5.22,5.853139872767061,5.4
2018-01-01,30,chuquicamata,LC,37.848,23.402937161742415,15.228
2018-01-01,30,collahuasi,LC,58.119,49.67029021627417,44.4
2018-01-01,30,el abra,SM,5.236,6.465116484119474,6.9
2018-01-01,30,el soldado,SM,2.856,3.9026334624669174,3.6
2018-01-01,30,el teniente,LC,30.462,33.4173687158778,36.6
2018-01-01,30,escondida,LC,103.74,93.25655168337593,77.1
2018-01-01,30,franke,SM,1.243,1.0521040620786097,1.7
2018-01-01,30,gabriela mistral,LC,8.177,8.697761204377935,7.2
2018-01-01,30,lomas bayas,SM,6.463,5.7816187247444155,7.2
2018-01-01,30,los bronces,LC,27.661,21.806951079891554,20.858
2018-01-01,30,los pelambres,LC,27.137,26.660503023054083,28.1
2018-01-01,30,mantos blancos,SM,2.862,3.2711223675432963,3.569
2018-01-01,30,mantoverde,SM,3.159,4.240841696772305,3.065
2018-01-01,30,ministro hales,LC,9.861,12.438451967640734,23.8
2018-01-01,30,ojos del salado,SM,2.351,2.089467368514232,2.1
2018-01-01,30,otros,LC,12.753,11.046321445257945,11.749
2018-01-01,30,radomiro tomic,LC,19.38,20.860470858705824,25.704
2018-01-01,30,salvador,SM,4.597,5.167490581922822,4.3
2018-01-01,30,sierra gorda,SM,12.36,12.252549166747512,7.8
2018-01-01,30,zaldivar,SM,7.871,6.6441131266746725,8.7
2018-01-01,36,andacollo,SM,4.445,3.7824435840268626,8.4
2018-01-01,36,andina,LC,13.639,15.104255709698732,19.5
2018-01-01,36,antucoya,SM,6.812,6.762678177965669,6.7
2018-01-01,36,atacama kozan,SM,1.013,1.1142657747064075,1.0
2018-01-01,36,candelaria,LC,9.0,9.550307104586146,9.4
2018-01-01,36,caserones,LC,8.761,11.212390240242248,13.0
2018-01-01,36,centinela_oxidos,SM,7.833,7.38766201252866,5.3
2018-01-01,36,centinela_sulfuros,LC,16.0,11.118145864293853,16.4
2018-01-01,36,cerro colorado,SM,4.491,5.829110896480966,5.4
2018-01-01,36,chuquicamata,LC,29.088,22.698111233140278,15.228
2018-01-01,36,collahuasi,LC,57.029,48.55294452125964,44.4
2018-01-01,36,el abra,SM,6.746,6.640685687040503,6.9
2018-01-01,36,el soldado,SM,3.724,3.9343058980101207,3.6
2018-01-01,36,el teniente,LC,39.124,32.56684382270855,36.6
2018-01-01,36,escondida,LC,84.669,96.30310558778648,77.1
2018-01-01,36,franke,SM,1.088,1.0521282202323574,1.7
2018-01-01,36,gabriela mistral,LC,6.399,8.584969332866054,7.2
2018-01-01,36,lomas bayas,SM,5.4,5.78405057255737,7.2
2018-01-01,36,los bronces,LC,24.529,21.08581954314356,20.858
2018-01-01,36,los pelambres,LC,28.8,26.784668641026403,28.1
2018-01-01,36,mantos blancos,SM,3.705,3.3208174174517584,3.569
2018-01-01,36,mantoverde,SM,3.144,4.41805451063078,3.065
2018-01-01,36,ministro hales,LC,17.82,11.976355422091082,23.8
2018-01-01,36,ojos del salado,SM,2.335,2.0407868269967993,2.1
2018-01-01,36,otros,LC,9.332877,10.87576158825557,11.749
2018-01-01,36,radomiro tomic,LC,22.516,20.839811435802346,25.704
2018-01-01,36,salvador,SM,4.462,5.1390594404615335,4.3
2018-01-01,36,sierra gorda,SM,11.565,11.987906614901963,7.8
2018-01-01,36,zaldivar,SM,7.298,6.5154371080909,8.7
2018-01-01,42,andacollo,SM,3.84,3.817065060099373,8.4
2018-01-01,42,andina,LC,19.517,14.84948280948263,19.5
2018-01-01,42,antucoya,SM,5.202,6.840308798043582,6.7
2018-01-01,42,atacama kozan,SM,1.125,1.1029171028632878,1.0
2018-01-01,42,candelaria,LC,9.268,9.72258504059695,9.4
2018-01-01,42,caserones,LC,10.492,11.173222116733776,13.0
2018-01-01,42,centinela_oxidos,SM,7.725,7.36215681501359,5.3
2018-01-01,42,centinela_sulfuros,LC,14.8,10.78107553711912,16.4
