Mine,Origin,Segment,LGB_bc,RF_bc,XGB_bc,ARIMA,SARIMAX,RollingMean,Naive,H_norm
centinela_sulfuros,2020-10-01,LC,-0.286292679810777,-0.13105728420023913,-0.41811192453829255,-0.24154445387896525,-0.04114395390288395,-0.19916446997347237,-0.5323760707195011,-1.1348637066629406
centinela_sulfuros,2021-04-01,LC,-0.20916490927543135,-0.007620075214036056,-0.26312731440037734,-0.21745405039551682,-0.02048967977177296,-0.4088622611660581,-0.49782919008461046,-1.1945413790496324
chuquicamata,2018-01-01,LC,-0.6405381088879566,-0.42819236091935603,-0.3406090632321293,-0.6059058072871826,1.0750707064539475,-0.8819980552759352,-0.2570936321015264,-1.4049855026487528
chuquicamata,2018-07-01,LC,-0.6464583331359575,-0.42554858525138367,-0.31872545186854584,-0.675505597497334,1.11009625480642,-0.9076231112542728,-0.30467223963586837,-1.4416865088281152
chuquicamata,2019-01-01,LC,-0.4601919212430416,-0.45411101112575936,-0.36180636501991537,-0.6406135497754026,0.957593093125862,-0.8181504361499334,-0.17238304687459044,-1.2282423043766921
chuquicamata,2019-07-01,LC,-0.5911758586153745,-0.39608115973750807,-0.46162649842078435,-0.6498773502506247,1.0696912052335419,-0.9552782874423222,-0.340257195275043,-1.3168601563246611
chuquicamata,2020-01-01,LC,-0.46208186385080774,-0.33345167076884685,-0.46402138894422423,-0.299382584670457,0.7258078965266812,-0.8925687939926122,-0.4557372571731353,-0.8573568968981632
chuquicamata,2020-07-01,LC,-0.5898202055528694,-0.6123025469508114,-0.4355720959781558,-0.7189369380841921,1.3422861597055658,-1.0727290374133216,-0.10309461870738751,-1.245088573407237
chuquicamata,2020-10-01,LC,-0.5248507799402027,-0.46214127758487905,-0.26782626231754886,-0.8966479907216947,0.8154248229308293,-0.5544667600284282,-0.3332660770342029,-1.6039516796248487
chuquicamata,2021-04-01,LC,-0.4209714674190721,-0.7764040490380175,-0.5257487140153393,-0.714931753427932,1.0643962711841863,-0.5223686724879668,-0.16420953775926428,-2.011392980702466
collahuasi,2018-01-01,LC,1.0238010896836396,-0.04788785959081711,-0.2083343830740887,-0.5310927806406198,-0.33837093040368976,-1.2453038650835742,-0.6346780339190417,-2.92890905436277
collahuasi,2018-07-01,LC,1.0495606088759433,-0.22453997162926861,-0.2632880397128109,-0.7584504332896043,-0.22248997680138896,-1.1797399374843744,-0.7710111376235168,-3.024118231387927
collahuasi,2019-01-01,LC,0.9287386390426507,-0.26606147039974876,-0.05348362318602581,-0.5036291842973611,-0.05552406094471181,-0.6632203993963387,-1.2125256913130937,-2.981865166458736
collahuasi,2019-07-01,LC,1.2429329948094563,-0.1716468888285381,-0.14203001570028254,-0.6531905342262616,0.0495703499471389,-1.291893264886281,-0.535735108625411,-2.8156125248101174
collahuasi,2020-01-01,LC,1.1133802495745406,-0.17667610375542186,-0.07774721547920657,-0.824020674108835,-0.08117253987278378,-1.2883844622271599,-0.7182798692008207,-2.704664475269275
collahuasi,2020-07-01,LC,1.1359638855082472,-0.1903237167891676,-0.12856595621527114,-1.1214151737413736,-0.09846340277712634,-1.1324456167740322,-0.3720821392594062,-2.2948538394596967
collahuasi,2020-10-01,LC,1.1836284634850054,-0.08918655349295862,-0.026625056742352313,-0.7538385977046387,-0.12771961308986926,-1.4361913409969476,-0.6769916714624721,-2.6461425093393047
collahuasi,2021-04-01,LC,1.3006133910348388,-0.21926074545584315,0.2930398987157916,-0.7606899686579308,-0.36797695690436016,-0.9349974369649217,-0.02908734474992464,-2.926162644919493
el abra,2018-01-01,SM,0.020105294945328693,0.06514299248169203,-0.21216456070700332,0.036208712504521755,-0.19110576580976035,-0.06579406772939181,-0.05550358969350305,0.5342269708589664
el abra,2018-07-01,SM,-0.021171741315040092,0.05256614895177526,-0.2019164297894957,0.05266400691036099,-0.20852917189219866,-0.004301022444179566,-0.06063226513089729,0.5214292583546227
el abra,2019-01-01,SM,-0.005838389420618981,0.03907263858214911,-0.21020194703627562,0.027688822696647502,-0.20795038864933393,-0.02405259322198059,-0.06345208331193093,0.5329850893572856
