ID_SUBEST,NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
691,S/E LA DEHESA,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.34464800099994,-70.57121799999999
2187,S/E CENTRAL CAMPICHE,EMPRESA ELÉCTRICA CAMPICHE S.A.,220,DEDICADO,2014-04-12,-32.74869600099993,-71.48224499999998
1662,S/E MULCHEN,ALFA TRANSMISORA DE ENERGÍA S.A.,220,NACIONAL,2014-04-12,-37.68117984099996,-72.25394466999995
211,S/E YUNGAY,CENTRAL YUNGAY S.A.,154,DEDICADO,2014-04-12,-37.10585700099995,-72.29390799999999
563,S/E CARRERA PINTO,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-27.00193000099995,-69.90268999999995
2318,S/E PAMPA TIGRE,AR PAMPA SPA,220,DEDICADO,2014-04-12,-23.855541242999948,-69.81362819999998
1967,TAP OFF LICANCABUR,MINERA CENTINELA,110,DEDICADO,2014-04-12,-22.72199312799995,-70.26085994699997
354,S/E EL AVELLANO,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-37.442043540999975,-72.32907927999997
1747,S/E CENTRAL LLAUQUEREO,HIDROELÉCTRICA LLEUQUEREO S.A.,<66,S/I,2014-04-12,-37.56685200099997,-71.52424099999996
404,S/E SAN FERNANDO,CGE TRANSMISIÓN S.A.,154,ZONAL,2014-04-12,-34.59783300099997,-70.98319999999995
1803,S/E 405,MINERA ESCONDIDA LTDA.,<66,DEDICADO,2014-04-12,-24.34080985099996,-69.05798419999996
1756,S/E PICHIL,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-40.70553000099994,-73.00536599999998
2185,S/E CENTRAL MOCHO,HIDROMOCHO S.A.,<66,DEDICADO,2014-04-12,-40.64086100099996,-72.25136099999997
776,S/E ALTO MELIPILLA,CHILQUINTA TRANSMISIÓN S.A.,220,ZONAL,2014-04-12,-33.69137400099993,-71.23747599999996
271,S/E CENTRAL EMELDA,EMPRESA ELÉCTRICA DIEGO DE ALMAGRO SPA,110,DEDICADO,2014-04-12,-26.38070000099998,-70.02178299999997
