name,longitude,latitude
Est SAN ROSENDO,-72.7280693582989,-37.26339594324916
Est BUENURAQUI,-72.77036507030273,-37.20290936030579
Est GOMERO,-72.83528642484237,-37.19652925305256
Est TALCAMÁVIDA,-72.90680358247585,-37.16519964500302
Est UNIHUE,-72.94267343852904,-37.11924167816488
Est QUILACOYA,-72.96329676898799,-37.0547101943922
Est HUALQUI,-72.94109825695395,-36.98071408398403
Est LOMAS COLORADAS,-73.13962249537398,-36.88273288893478
Est ESCUADRÓN,-73.15705127480658,-36.95498231444633
Est CORONEL,-73.15221582855213,-37.02359717823077
Est LOTA,-73.15761185962384,-37.09599832795408
Est LARAQUETE,-73.1863460285051,-37.16773100324218
Est CARAMPANGUE,-73.23669214205731,-37.25490586815165
Est RAMADILLAS,-73.26432097108625,-37.30590806742652
Est COLICO,-73.32999394949194,-37.39276259703694
Est CURANILAHUE,-73.34360922662061,-37.47796828438532
Est CONCEPCIÓN (nueva),-73.06095146965589,-36.83019417183957
Est EL ARENAL (Talcahuano),-73.116710192813,-36.72535111613457
Estación El Arenal,-73.11303503510014,-36.72892480243328
Estación El Arenal,-73.11670366119364,-36.72522491454042
Est LAJA,-72.71681233042347,-37.28185944749226
Est DIUQUÍN,-72.67449025312226,-37.36317698139179
Est MILLANTÚ,-72.61804053498008,-37.3995708563081
Est SANTA FE,-72.5840037089032,-37.46071157122864
Est CANDELARIA,-72.4837083545748,-37.47357087223059
Est LOS ÁNGELES,-72.35615572936462,-37.4715492013512
Est CUÑIBAL,-72.3046680803249,-37.49332459384957
Est LLANO BLANCO,-72.1724964032376,-37.56660380603609
Est MAÑIL,-72.10384278216875,-37.62266224172374
Est SANTA BÁRBARA,-72.01879553977334,-37.66556264928143
Est COIGÜE,-72.59610752027197,-37.55791379086122
Est NEGRETE,-72.52502556502029,-37.589046899564
Est RAPELCO,-72.4562590299663,-37.61455116095947
Est LAPITO,-72.33525306058992,-37.64968804335628
Est MULCHÉN,-72.25335910680984,-37.72300424527568
Est COIGÜE,-72.59608921034138,-37.55796024270102
Est NACIMIENTO,-72.6604564695311,-37.50620827631644
Est RIHUE,-72.5910484237946,-37.62276873249029
Est RENAICO,-72.58833622515037,-37.67099866970058
Est ROBLERIA,-72.60191023231276,-37.69629277529541
Est TIJERAL,-72.61768096205694,-37.73145798494084
Est ANGOL,-72.70022983070365,-37.80627455255443
Est TRINTRE,-72.74524302374515,-37.92263285667787
Est LOS SAUCES,-72.82919103686794,-37.98003271132745
Est GUADABA,-72.95439955770033,-37.99122763868596
Est PUREN,-73.07784917552749,-38.02999357186045
Est CONTULMO,-73.2344378057308,-37.99205799892025
Est LLACOLEN,-73.27095901803551,-37.92355691291454
