NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
MAITENCILLO - AGROSUPER 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-28.53737673336849,-70.92497573448865
CHILOE - DALCAHUE 110KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,110.0,ZONAL,2019-04-26,-42.256062714111,-73.71740367979095
CIRUELITO - RECINTO 33KV,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,33.0,ZONAL,2017-12-20,-36.79750587181505,-71.74842038874121
FATIMA - HOSPITAL 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-33.836718032318664,-70.75134011442415
POLPAICO (TRANSELEC) - NUEVA LAMPA 220KV,TRANSELEC S.A.,220.0,NACIONAL,2019-04-26,-33.36842728693784,-70.73548696913113
LLOLLELHUE - LA UNION 66KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,ZONAL,2019-04-25,-40.22961357532286,-72.97887483045474
MULCHEN - LOS NOTROS 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2019-04-26,-37.70243539113692,-72.03970774821518
TOTORALILLO - CENTRAL CHACABUQUITO 110KV,ALFA TRANSMISORA DE ENERGÍA S.A.,110.0,ZONAL,2023-04-10,-32.85378571499996,-70.50578109199995
CARRERA PINTO - PASTORA 220KV,ENEL GREEN POWER CHILE S.A.,220.0,DEDICADO,2019-04-26,-27.000003078522436,-69.88938163420292
CHARRUA – SECCIONADORA EL ROSAL 220KV,TRANSELEC S.A.,220.0,NACIONAL,2019-04-26,-37.16988920159349,-72.33095036289646
TALCAHUANO - LATORRE 66KV L2,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-36.72738470009725,-73.12057322516063
SANTA CRUZ - LIHUIEIMO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-34.58023526321016,-71.38077009144486
PAN DE AZUCAR - EL PEÑON 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-30.05846144993843,-71.25246462252623
TINEO - PUERTO MONTT 220 KV,TRANSELEC S.A.,220.0,NACIONAL,2023-04-10,-41.3361846707544,-73.00264025291662
ENLACE - FIBRANOVA 66KV,MASISA S.A.,66.0,ZONAL,2019-04-25,-37.0592604254137,-72.34958165597114
RIO ACONCAGUA – NUEVA PANQUEHUE 110KV,ALFA TRANSMISORA DE ENERGÍA S.A.,110.0,ZONAL,2019-04-26,-32.8099773977708,-70.95062045210938
DOMEYKO - OGP1 220KV,MINERA ESCONDIDA LTDA.,220.0,DEDICADO,2019-04-26,-24.30194349931586,-69.09908370734767
ENTRE RIOS - CHARRUA 500KV,TRANSELEC S.A.,500.0,NACIONAL,2019-04-26,-37.036058637166775,-72.26583457850047
PUNTA DE CORTES - TINGUIRIRICA 154KV,TRANSELEC S.A.,154.0,ZONAL,2019-04-26,-34.39966086373344,-70.93214848021073
ROSARIO - SAN FERNANDO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-34.47900759891656,-70.89484235979133
TAP LOS DOMINICOS - LOS DOMINICOS 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.41299978104749,-70.51635026795667
668_QUILLOTA - LOS PIUQUENES 220KV,S/I,220.0,DEDICADO,2019-04-26,-32.369223203753144,-70.8688495729756
CARDONES - REFUGIO 110KV,COMPAÑÍA MINERA MARICUNGA,110.0,DEDICADO,2017-12-20,-27.613723432533806,-69.84559557151303
RENCA - BRASIL 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.42384043669755,-70.6769196423044
TAP SAN RAFAEL - SAN RAFAEL 44KV,CHILQUINTA TRANSMISIÓN S.A.,44.0,ZONAL,2019-04-26,-32.81686723615506,-70.60904572454751
CENTRAL LOS OLIVOS - CHOAPA 110KV,ESPINOS S.A.,110.0,DEDICADO,2019-04-26,-31.936993710767965,-71.4763977809789
DUQUECO - LOS PEUMOS 220KV,TRANSELEC S.A.,220.0,NACIONAL,2019-04-26,-37.880853425864274,-72.33647743680197
PARANAL - ARMAZONES 66KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,ZONAL,2021-09-15,-24.824797864625445,-70.3847051393019
MALLOA - QUINTA DE TILCOCO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-34.405137974967715,-70.95878037340707
RAPEL - SECCIONADORA ALTO MELIPILLA 220KV,ELETRANS II S.A.,220.0,NACIONAL,2023-04-10,-33.89651626226742,-71.3402634787201
TAP CENTRAL SANTA MARTA - CENTRAL SANTA MARTA 220KV,CONSORCIO SANTA MARTA S.A.,220.0,ZONAL,2019-04-26,-33.69664469241372,-70.79006178298651
DIEGO DE ALMAGRO - ILLAPA 220KV L2,ELETRANS S.A.,220.0,NACIONAL,2021-12-02,-26.49863972844619,-69.97007378351323
TIQUIMA - PAGUANA 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-20.988576650504623,-69.0190846328449
MONTENEGRO  - MONTERRICO 154KV,TRANSELEC S.A.,154.0,ZONAL,2019-04-26,-36.68553036744208,-72.07453677384957
EL MAITEN - EL PAICO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-33.68733910093576,-71.11770572965247
JUNCALITO - HORNITOS 11KV,ALFA TRANSMISORA DE ENERGÍA S.A.,11.0,DEDICADO,2023-04-10,-32.90161602571615,-70.26635499284798
NUEVA ZALDIVAR - OGP1 220KV,MINERA ESCONDIDA LTDA.,220.0,DEDICADO,2019-04-26,-24.26049580307817,-69.09507933122127
NUEVA POZO ALMONTE – POZO ALMONTE 220KV,EDELNOR TRANSMISIÓN S.A.,220.0,NACIONAL,2023-04-10,-20.28646663204013,-69.76093531578707
PARINACOTA – WILLKA 220kV,INVERSIONES FOTOVOLTAICAS SPA,220.0,DEDICADO,2019-04-26,-18.49404379813699,-70.18744738001469
LAS VIOLETAS - IMPERIAL 66 KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,ZONAL,2023-04-10,-38.753491866852606,-72.9234856193402
TAP PAINE - PAINE 154KV,CGE TRANSMISIÓN S.A.,154.0,ZONAL,2019-04-26,-33.82840183899347,-70.7528481136765
LA CALERA - LAS VEGAS 44KV,CHILQUINTA TRANSMISIÓN S.A.,44.0,ZONAL,2021-09-10,-32.840975212725645,-71.11382798820064
CHARRUA - LAJA 66KV,TRANSELEC S.A.,66.0,ZONAL,2019-04-25,-37.22774075446915,-72.48745820822023
SAN CLEMENTE COLBUN - CHIBURGO 66KV,ALFA TRANSMISORA DE ENERGÍA S.A.,66.0,DEDICADO,2019-04-25,-35.62649161938536,-71.35581801362795
LOS MAQUIS - HORNITOS 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,DEDICADO,2019-04-26,-32.90557099840577,-70.34188668741956
ALGARROBAL – MAITENCILLO 220KV,TRANSELEC S.A.,220.0,NACIONAL,2023-04-10,-28.377203492651304,-70.76278199344854
PFV JAVIERA - TAL TAL 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-25.861080898048105,-70.32424327673175
TAP OFF 418 - 418 69 KV,MINERA ESCONDIDA LTDA.,66.0,DEDICADO,2019-04-26,-24.390140899999977,-69.13684619849997
MAULE - TALCA 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-35.45111720084724,-71.59604615372432
CARDONES - NUEVA CARDONES 220KV,INTERCHILE S.A.,220.0,NACIONAL,2019-04-26,-27.50382908141244,-70.40672533586583
PURI - DOMEYKO 220KV,MINERA ESCONDIDA LTDA.,220.0,DEDICADO,2019-04-26,-24.18636575555272,-69.27473069009922
CONCHI - EL ABRA 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-21.98138076869874,-68.70788836624256
PILAUCO - REMEHUE 66KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,ZONAL,2019-04-25,-40.56020247733542,-73.08148837892207
CENTRAL CERRO TIGRE - TIGRE 220KV,AR CERRO TIGRE SPA,220.0,DEDICADO,2023-04-10,-23.800171614528853,-69.89832346497288
CONDORES - PACIFICO 110KV,EMPRESA DE TRANSMISIÓN ELÉCTRICA TRANSEMEL S.A.,110.0,ZONAL,2019-04-26,-20.22635081969492,-70.10864888832013
MELIPULLI - ALTO BONITO 110KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,110.0,ZONAL,2017-12-20,-41.478570517710125,-73.00521917452546
LO PRADO - CURACAVI 44KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,44.0,ZONAL,2017-12-20,-33.449550615614285,-70.98221649114991
KM6 - SOPLADORES 100KV,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110.0,DEDICADO,2017-12-20,-22.317649408403017,-68.88596977507876
CENTRAL CIPRESES - CENTRAL ISLA 154KV,TRANSELEC S.A.,154.0,DEDICADO,2019-04-26,-35.79659241926148,-70.8204259928665
FUNDICION CHAGRES - NUEVA PANQUEHUE 110KV,ALFA TRANSMISORA DE ENERGÍA S.A.,110.0,ZONAL,2019-04-26,-32.80672364595434,-70.9344122280159
OLAP - SULFUROS 69KV,MINERA ESCONDIDA LTDA.,69.0,DEDICADO,2023-04-10,-24.24241760943488,-69.11136960834352
ATACAMA - ESMERALDA 220KV,TRANSELEC S.A.,220.0,ZONAL,2019-04-26,-23.38516551264577,-70.40570286521232
CHIU CHIU - CALAMA NUEVA 110KV,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,110.0,DEDICADO,2023-04-10,-22.446658208170835,-68.86885954651648
TAP OFF TAMARUGAL - LA HUAYCA II 66KV,SPS LA HUAYCA S.A.,66.0,DEDICADO,2017-12-20,-20.45070896994306,-69.61278294787715
VALDIVIA (STS) - CHUMPULLO 66kV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66.0,DEDICADO,2017-12-20,-39.79376937392991,-73.18481729563828
ALONSO DE RIBERA - EJERCITO 66KV L2,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-36.8148668620772,-73.04722553505611
PARRAL - CAUQUENES 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-36.04363003476518,-72.0553238081904
PUNTA DE CORTES - CACHAPOAL 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2017-12-20,-34.184499883987534,-70.79584642647428
POLPAICO (TRANSELEC) - QUILAPILUN 220KV C2,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2023-04-10,-33.13834272366544,-70.76048465358372
DON HECTOR - CENTRAL PAJONALES 220KV,PRIME ENERGÍA QUICKSTART SPA,220.0,DEDICADO,2021-09-15,-29.117492615474475,-70.92540340143259
TARAPACA - PUERTO PATACHE 220KV,TRANSELEC S.A.,220.0,ZONAL,2019-04-26,-20.797429346700905,-70.18365272345697
LUCERO - CHILLAN 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-36.71271704535972,-72.1325415249227
TAP LA ERMITA - LA ERMITA 220KV,ANGLO AMERICAN LOS BRONCES,220.0,DEDICADO,2019-04-26,-33.36992426425805,-70.40278006393518
HADES - PURI 220KV,ENEL GREEN POWER CHILE S.A.,220.0,DEDICADO,2019-04-26,-24.077252826577286,-69.51201376794363
CENTRAL DIESEL TAMAYA - A 110KV,ENGIE ENERGÍA CHILE S.A.,110.0,DEDICADO,2017-12-20,-22.27125628791244,-69.49840787207198
CENTRAL CORRALES – CENTRAL PUNTA DEL VIENTO 23KV,HIDROELÉCTRICA PUNTA DEL VIENTO SPA,23.0,DEDICADO,2023-04-10,-34.74779990754573,-70.42230143247659
FLORIDA - LOS ALMENDROS 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.48673286557622,-70.52471059716173
CONCON - BOSQUEMAR 110KV,CHILQUINTA TRANSMISIÓN S.A.,110.0,ZONAL,2016-08-01,-32.9384368328685,-71.49524346763295
RIO AZUL - FUTALEUFU,EDELAYSEN,23.0,S/I,2019-04-26,-43.33174821040262,-72.01513775508504
YUNGAY - CHARRUA 154KV,CENTRAL YUNGAY S.A.,154.0,DEDICADO,2019-04-26,-37.09946181561724,-72.30516663610507
CENTRAL LA HIGUERA - CENTRAL LA CONFLUENCIA 220KV,HIDROELÉCTRICA LA CONFLUENCIA S.A.,154.0,DEDICADO,2019-04-26,-34.792877164315335,-70.63402251758554
SANTA ROSA (CGE) - ALHUE 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-34.01652097242534,-71.18971833765055
CENTRAL MAMPIL - CENTRAL PEUCHEN 23KV,DUQUECO SPA,23.0,DEDICADO,2021-09-05,-37.54719509831059,-71.65225620424296
MAIPO - CANDELARIA 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2019-04-26,-33.86874107676009,-70.62698198314222
TAP LA CISTERNA - LA CISTERNA 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.52025137315311,-70.67689080255549
PALPANA - CRUCERO 220 KV C1,ENGIE ENERGÍA CHILE S.A.,220.0,DEDICADO,2019-04-26,-22.27287365478265,-69.52008135754018
COLBUN - ANCOA 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2023-04-10,-35.68523677680928,-71.37680684014202
RANCAGUA - EST. E-172 (TAP TUNICHE) 154kV,TRANSELEC S.A.,154.0,ZONAL,2019-04-26,-34.12825862823161,-70.7447304102251
ISLA DE MAIPO - EL MONTE 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2017-12-20,-33.707805140923604,-70.94857208802425
ANGOL - COLLIPULLI 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2017-12-20,-38.00784254497823,-72.44550399659789
TAP FPC - FPC 154KV,FORESTAL Y PAPELERA CONCEPCIÓN S.A.,154.0,ZONAL,2019-04-26,-36.93506107262096,-73.15303849827036
CANAL MELADO - LOMA ALTA 220KV,TRANSELEC S.A.,220.0,DEDICADO,2019-04-26,-35.75259034411111,-71.02087604632945
TAP ALTO MELIPILLA - ALTO MELIPILLA 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-33.69077012172702,-71.23732988545616
