Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
atacama kozan,2026,1,13.566553112743275,11.623,13.578553112743275,13.867553112743275,11.623,0,Small,1,SmallMed
atacama kozan,2027,2,13.578553112743275,11.623,13.032553112743274,13.792553112743276,11.623,0,Small,1,SmallMed
atacama kozan,2028,3,12.648553112743276,11.623,12.006553112743275,13.672553112743275,11.623,0,Small,1,SmallMed
atacama kozan,2029,4,12.266553112743274,11.623,11.682553112743275,13.309553112743275,11.623,0,Small,1,SmallMed
atacama kozan,2030,5,11.856553112743276,11.623,11.750553112743274,12.440553112743276,11.623,0,Small,1,SmallMed
atacama kozan,2031,6,12.454553112743275,11.623,10.454553112743275,11.708553112743274,11.623,0,Small,1,SmallMed
atacama kozan,2032,7,12.301553112743274,11.623,10.230553112743275,11.413553112743275,11.623,0,Small,1,SmallMed
candelaria,2026,1,131.14710848177987,125.182,109.98810848177988,137.84410848177987,125.182,2,Large,1,LargeColossal
candelaria,2027,2,131.85810848177988,125.182,104.00410848177988,137.36410848177988,125.182,2,Large,1,LargeColossal
candelaria,2028,3,134.4611084817799,125.182,100.84310848177988,133.66010848177987,125.182,2,Large,1,LargeColossal
candelaria,2029,4,133.13310848177989,125.182,98.98610848177988,131.94810848177988,125.182,2,Large,1,LargeColossal
candelaria,2030,5,130.69710848177988,125.182,97.50510848177987,131.11310848177988,125.182,2,Large,1,LargeColossal
candelaria,2031,6,126.14510848177987,125.182,95.87210848177988,130.3721084817799,125.182,2,Large,1,LargeColossal
candelaria,2032,7,125.57710848177987,125.182,93.34310848177988,128.96210848177986,125.182,2,Large,1,LargeColossal
capstone copper (4),2026,1,185.0586367734734,157.034,126.17863677347341,204.65763677347343,157.034,2,Large,0,LargeColossal
capstone copper (4),2027,2,172.89963677347342,157.034,124.77463677347342,200.8926367734734,157.034,2,Large,0,LargeColossal
capstone copper (4),2028,3,161.90263677347343,157.034,121.44963677347342,197.56863677347343,157.034,2,Large,0,LargeColossal
capstone copper (4),2029,4,154.50863677347343,157.034,119.29463677347343,194.1246367734734,157.034,2,Large,0,LargeColossal
capstone copper (4),2030,5,152.66363677347343,157.034,118.24763677347342,192.95963677347342,157.034,2,Large,0,LargeColossal
capstone copper (4),2031,6,159.34063677347342,157.034,115.33163677347342,193.18263677347343,157.034,2,Large,0,LargeColossal
capstone copper (4),2032,7,159.93163677347343,157.034,112.02963677347343,200.81763677347342,157.034,2,Large,0,LargeColossal
caserones,2026,1,138.13608396933023,132.882,125.86408396933022,147.7450839693302,132.882,2,Large,1,LargeColossal
caserones,2027,2,140.1680839693302,132.882,125.40408396933022,150.28808396933022,132.882,2,Large,1,LargeColossal
caserones,2028,3,134.5600839693302,132.882,125.37208396933022,147.17408396933024,132.882,2,Large,1,LargeColossal
caserones,2029,4,138.78208396933024,132.882,124.97208396933021,145.3390839693302,132.882,2,Large,1,LargeColossal
caserones,2030,5,141.85408396933025,132.882,125.33008396933022,143.80208396933023,132.882,2,Large,1,LargeColossal
caserones,2031,6,141.5410839693302,132.882,128.93208396933022,144.6060839693302,132.882,2,Large,1,LargeColossal
caserones,2032,7,142.61208396933023,132.882,130.60408396933022,147.47008396933023,132.882,2,Large,1,LargeColossal
centinela_centinela_sulfuros_,2026,1,160.05795851482046,174.323,142.04595851482046,194.20895851482047,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2027,2,157.89495851482047,174.323,139.96695851482048,192.48095851482046,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2028,3,146.06795851482048,174.323,136.79395851482047,188.79195851482046,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2029,4,142.57495851482045,174.323,133.75995851482045,183.40795851482045,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2030,5,133.99695851482048,174.323,126.15795851482048,180.27195851482045,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2031,6,132.48395851482047,174.323,120.65195851482048,178.76995851482047,174.323,3,Colossal,1,LargeColossal
centinela_centinela_sulfuros_,2032,7,128.73795851482046,174.323,116.66595851482047,181.51995851482047,174.323,3,Colossal,1,LargeColossal
centinela_centinela_óxidos_,2026,1,74.94040219561896,66.124,58.89840219561897,90.29740219561896,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2027,2,69.86740219561898,66.124,57.14940219561897,89.86740219561898,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2028,3,68.94140219561896,66.124,55.99140219561897,87.46040219561897,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2029,4,68.00040219561896,66.124,54.74740219561897,86.76340219561897,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2030,5,71.11940219561896,66.124,53.98540219561897,86.99140219561897,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2031,6,74.57940219561897,66.124,53.955402195618966,85.33540219561897,66.124,2,Large,1,LargeColossal
centinela_centinela_óxidos_,2032,7,72.32140219561896,66.124,53.04640219561897,85.25640219561896,66.124,2,Large,1,LargeColossal
cerro negro,2026,1,4.073915548550734,4.072,4.241915548550734,4.4819155485507345,4.072,0,Small,1,SmallMed
cerro negro,2027,2,4.062915548550734,4.072,3.2139155485507342,4.434915548550734,4.072,0,Small,1,SmallMed
cerro negro,2028,3,3.662915548550734,4.072,2.264915548550734,4.384915548550734,4.072,0,Small,1,SmallMed
cerro negro,2029,4,3.766915548550734,4.072,1.8969155485507343,4.269915548550734,4.072,0,Small,1,SmallMed
cerro negro,2030,5,2.9789155485507344,4.072,1.8799155485507344,3.868915548550734,4.072,0,Small,1,SmallMed
cerro negro,2031,6,2.931915548550734,4.072,1.7909155485507344,3.747915548550734,4.072,0,Small,1,SmallMed
cerro negro,2032,7,2.871915548550734,4.072,1.7539155485507343,3.711915548550734,4.072,0,Small,1,SmallMed
chuquicamata,2026,1,191.07135447295445,265.756,210.03335447295444,242.48235447295446,265.756,3,Colossal,2,LargeColossal
chuquicamata,2027,2,197.93335447295448,265.756,212.27735447295447,251.93335447295448,265.756,3,Colossal,2,LargeColossal
chuquicamata,2028,3,210.32335447295446,265.756,222.52735447295447,255.48135447295448,265.756,3,Colossal,2,LargeColossal
chuquicamata,2029,4,215.09835447295444,265.756,215.75935447295444,259.5343544729545,265.756,3,Colossal,2,LargeColossal
chuquicamata,2030,5,216.2933544729545,265.756,212.55135447295447,261.1663544729545,265.756,3,Colossal,2,LargeColossal
chuquicamata,2031,6,221.48835447295448,265.756,210.41235447295446,262.0223544729545,265.756,3,Colossal,2,LargeColossal
chuquicamata,2032,7,211.97235447295446,265.756,205.57535447295447,263.45335447295446,265.756,3,Colossal,2,LargeColossal
collahuasi,2026,1,549.4301239447389,406.016,462.3891239447388,598.7431239447387,406.016,3,Colossal,2,LargeColossal
collahuasi,2027,2,538.5921239447388,406.016,457.1011239447388,590.3651239447388,406.016,3,Colossal,2,LargeColossal
collahuasi,2028,3,533.2231239447387,406.016,455.3301239447388,577.7481239447388,406.016,3,Colossal,2,LargeColossal
collahuasi,2029,4,517.6461239447387,406.016,424.2601239447388,579.2841239447388,406.016,3,Colossal,2,LargeColossal
collahuasi,2030,5,507.4231239447388,406.016,417.3061239447388,577.1111239447388,406.016,3,Colossal,2,LargeColossal
collahuasi,2031,6,498.61212394473876,406.016,422.88412394473875,575.5361239447388,406.016,3,Colossal,2,LargeColossal
collahuasi,2032,7,506.42012394473875,406.016,423.0511239447388,578.7271239447388,406.016,3,Colossal,2,LargeColossal
el abra,2026,1,73.77051311216907,91.376,67.72951311216906,64.50651311216906,91.376,1,Medium,2,SmallMed
el abra,2027,2,72.95951311216906,91.376,68.92651311216906,66.02051311216907,91.376,1,Medium,2,SmallMed
el abra,2028,3,73.00551311216907,91.376,70.18751311216907,67.51551311216906,91.376,1,Medium,2,SmallMed
el abra,2029,4,72.65751311216907,91.376,65.68751311216907,67.85051311216907,91.376,1,Medium,2,SmallMed
el abra,2030,5,70.47051311216906,91.376,66.51051311216906,66.36351311216906,91.376,1,Medium,2,SmallMed
el abra,2031,6,70.46751311216906,91.376,60.50851311216907,65.59151311216907,91.376,1,Medium,2,SmallMed
el abra,2032,7,71.27351311216907,91.376,52.290513112169066,63.70551311216906,91.376,1,Medium,2,SmallMed
el soldado,2026,1,49.29962221635954,42.604,41.27262221635954,52.03762221635954,42.604,1,Medium,1,SmallMed
el soldado,2027,2,51.83362221635953,42.604,39.26262221635953,53.15962221635954,42.604,1,Medium,1,SmallMed
el soldado,2028,3,48.32762221635953,42.604,36.072622216359534,52.07962221635954,42.604,1,Medium,1,SmallMed
el soldado,2029,4,46.849622216359535,42.604,37.291622216359535,49.69062221635953,42.604,1,Medium,1,SmallMed
el soldado,2030,5,47.13662221635954,42.604,37.751622216359536,48.22562221635954,42.604,1,Medium,1,SmallMed
