Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
SARIMAX,RF,0.8,1.0,0.7,53.49301397205589,60.23738872403561,29.587521673223215,51.543739279588344
SARIMAX,LGB+RF,0.3,0.5,0.6,50.83166999334664,58.160237388724035,36.06490838795614,48.713550600343055
SARIMAX,LGB+RF,0.3,0.6,0.6,50.9647371922821,58.753709198813056,36.477174678477475,48.713550600343055
SARIMAX,LGB+RF,0.3,0.7,0.6,50.83166999334664,58.160237388724035,36.87860705834739,48.713550600343055
SARIMAX,LGB+RF,0.3,0.8,0.6,50.69860279441118,57.566765578635014,37.34975329149791,48.713550600343055
SARIMAX,LGB+RF,0.3,0.9,0.6,50.43246839654025,56.37982195845698,37.83218995188798,48.713550600343055
SARIMAX,LGB+RF,0.3,1.0,0.6,50.43246839654025,56.37982195845698,38.25930550085366,48.713550600343055
SARIMAX,LGB+RF,0.4,0.5,0.6,50.43246839654025,56.37982195845698,36.28169501753855,48.713550600343055
SARIMAX,LGB+RF,0.4,0.6,0.6,50.565535595475716,56.97329376854599,36.693961308059876,48.713550600343055
SARIMAX,LGB+RF,0.4,0.7,0.6,50.43246839654025,56.37982195845698,37.0953936879298,48.713550600343055
SARIMAX,LGB+RF,0.4,0.8,0.6,50.29940119760479,55.78635014836796,37.56653992108032,48.713550600343055
SARIMAX,LGB+RF,0.4,0.9,0.6,50.033266799733866,54.59940652818991,38.04897658147039,48.713550600343055
SARIMAX,LGB+RF,0.4,1.0,0.6,50.033266799733866,54.59940652818991,38.47609213043606,48.713550600343055
SARIMAX,LGB+RF,0.5,0.5,0.6,50.23286759813706,55.48961424332344,36.53253368553793,48.713550600343055
SARIMAX,LGB+RF,0.5,0.6,0.6,50.36593479707252,56.083086053412465,36.94479997605926,48.713550600343055
SARIMAX,LGB+RF,0.5,0.7,0.6,50.23286759813706,55.48961424332344,37.346232355929175,48.713550600343055
SARIMAX,LGB+RF,0.5,0.8,0.6,50.0998003992016,54.89614243323442,37.817378589079695,48.713550600343055
SARIMAX,LGB+RF,0.5,0.9,0.6,49.83366600133067,53.70919881305638,38.29981524946976,48.713550600343055
SARIMAX,LGB+RF,0.5,1.0,0.6,49.83366600133067,53.70919881305638,38.72693079843544,48.713550600343055
SARIMAX,LGB+RF,0.6,0.6,0.6,50.23286759813706,55.48961424332344,37.220448238608846,48.713550600343055
SARIMAX,LGB+RF,0.6,0.7,0.6,50.0998003992016,54.89614243323442,37.62188061847877,48.713550600343055
SARIMAX,LGB+RF,0.6,0.8,0.6,49.966733200266134,54.3026706231454,38.09302685162928,48.713550600343055
SARIMAX,LGB+RF,0.6,0.9,0.6,49.70059880239521,53.11572700296736,38.575463512019354,48.713550600343055
SARIMAX,LGB+RF,0.6,1.0,0.6,49.70059880239521,53.11572700296736,39.00257906098503,48.713550600343055
SARIMAX,LGB+RF,0.7,0.7,0.6,49.9001996007984,54.00593471810089,37.881111870883316,48.713550600343055
SARIMAX,LGB+RF,0.7,0.8,0.6,49.76713240186294,53.41246290801187,38.35225810403384,48.713550600343055
SARIMAX,LGB+RF,0.7,0.9,0.6,49.50099800399202,52.22551928783383,38.83469476442391,48.713550600343055
SARIMAX,LGB+RF,0.7,1.0,0.6,49.50099800399202,52.22551928783383,39.261810313389574,48.713550600343055
SARIMAX,LGB+RF,0.8,0.8,0.6,49.56753160345975,52.52225519287834,38.56085878532072,48.713550600343055
SARIMAX,LGB+RF,0.8,0.9,0.6,49.30139720558882,51.33531157270029,39.04329544571078,48.713550600343055
SARIMAX,LGB+RF,0.8,1.0,0.6,49.30139720558882,51.33531157270029,39.470410994676456,48.713550600343055
SARIMAX,RF+XGB,0.3,0.5,0.7,56.15435795076514,66.17210682492582,30.529528395216264,53.2590051457976
SARIMAX,RF+XGB,0.3,0.6,0.7,56.22089155023287,66.46884272997032,30.447460821351108,53.2590051457976
SARIMAX,RF+XGB,0.3,0.7,0.7,55.82168995342648,64.68842729970326,30.45979090309488,53.2590051457976
SARIMAX,RF+XGB,0.3,0.8,0.7,55.68862275449102,64.09495548961425,30.656884342024235,53.2590051457976
SARIMAX,RF+XGB,0.3,0.9,0.7,55.62208915502329,63.798219584569736,30.935864200186522,53.2590051457976
SARIMAX,RF+XGB,0.3,1.0,0.7,55.62208915502329,63.798219584569736,31.32245331770863,53.2590051457976
SARIMAX,RF+XGB,0.4,0.5,0.7,55.82168995342648,64.68842729970326,30.310566969560924,53.2590051457976
SARIMAX,RF+XGB,0.4,0.6,0.7,55.88822355289421,64.98516320474778,30.228499395695763,53.2590051457976
SARIMAX,RF+XGB,0.4,0.7,0.7,55.489021956087825,63.20474777448071,30.24082947743954,53.2590051457976
SARIMAX,RF+XGB,0.4,0.8,0.7,55.35595475715236,62.61127596439169,30.437922916368894,53.2590051457976
SARIMAX,RF+XGB,0.4,0.9,0.7,55.28942115768463,62.31454005934718,30.71690277453118,53.2590051457976
SARIMAX,RF+XGB,0.4,1.0,0.7,55.28942115768463,62.31454005934718,31.103491892053295,53.2590051457976
SARIMAX,RF+XGB,0.5,0.5,0.7,55.88822355289421,64.98516320474778,30.104648826316424,53.2590051457976
SARIMAX,RF+XGB,0.5,0.6,0.7,55.95475715236194,65.28189910979229,30.02258125245126,53.2590051457976
SARIMAX,RF+XGB,0.5,0.7,0.7,55.55555555555556,63.50148367952523,30.03491133419504,53.2590051457976
SARIMAX,RF+XGB,0.5,0.8,0.7,55.42248835662009,62.908011869436194,30.23200477312439,53.2590051457976
SARIMAX,RF+XGB,0.5,0.9,0.7,55.35595475715236,62.61127596439169,30.510984631286686,53.2590051457976
SARIMAX,RF+XGB,0.5,1.0,0.7,55.35595475715236,62.61127596439169,30.897573748808792,53.2590051457976
SARIMAX,RF+XGB,0.6,0.6,0.7,55.62208915502329,63.798219584569736,29.872206348122205,53.2590051457976
SARIMAX,RF+XGB,0.6,0.7,0.7,55.2228875582169,62.01780415430267,29.884536429865975,53.2590051457976
SARIMAX,RF+XGB,0.6,0.8,0.7,55.08982035928144,61.42433234421365,30.081629868795336,53.2590051457976
SARIMAX,RF+XGB,0.6,0.9,0.7,55.02328675981371,61.12759643916914,30.360609726957623,53.2590051457976
SARIMAX,RF+XGB,0.6,1.0,0.7,55.02328675981371,61.12759643916914,30.747198844479737,53.2590051457976
SARIMAX,RF+XGB,0.7,0.7,0.7,55.08982035928144,61.42433234421365,29.905230442089803,53.2590051457976
SARIMAX,RF+XGB,0.7,0.8,0.7,54.956753160345976,60.83086053412463,30.102323881019153,53.2590051457976
SARIMAX,RF+XGB,0.7,0.9,0.7,54.89021956087824,60.534124629080125,30.381303739181448,53.2590051457976
SARIMAX,RF+XGB,0.7,1.0,0.7,54.89021956087824,60.534124629080125,30.767892856703554,53.2590051457976
SARIMAX,RF+XGB,0.8,0.8,0.7,54.82368596141051,60.23738872403561,30.216173630510443,53.2590051457976
SARIMAX,RF+XGB,0.8,0.9,0.7,54.75715236194278,59.940652818991104,30.495153488672738,53.2590051457976
SARIMAX,RF+XGB,0.8,1.0,0.7,54.75715236194278,59.940652818991104,30.88174260619484,53.2590051457976
SARIMAX,ALL3,0.3,0.5,0.7,53.22687957418497,60.534124629080125,34.20729447531494,51.114922813036024
SARIMAX,ALL3,0.3,0.6,0.7,53.22687957418497,60.534124629080125,34.51959430313448,51.114922813036024
SARIMAX,ALL3,0.3,0.7,0.7,53.02727877578177,59.64391691394659,34.86846079887968,51.114922813036024
SARIMAX,ALL3,0.3,0.8,0.7,52.96074517631404,59.34718100890207,35.2842865634169,51.114922813036024
SARIMAX,ALL3,0.3,0.9,0.7,52.96074517631404,59.34718100890207,35.75412713959237,51.114922813036024
SARIMAX,ALL3,0.3,1.0,0.7,52.69461077844311,58.160237388724035,36.231420598430404,51.114922813036024
SARIMAX,ALL3,0.4,0.5,0.7,53.16034597471723,60.23738872403561,34.25124505709399,51.114922813036024
SARIMAX,ALL3,0.4,0.6,0.7,53.16034597471723,60.23738872403561,34.56354488491353,51.114922813036024
SARIMAX,ALL3,0.4,0.7,0.7,52.96074517631404,59.34718100890207,34.91241138065873,51.114922813036024
SARIMAX,ALL3,0.4,0.8,0.7,52.89421157684631,59.05044510385756,35.32823714519594,51.114922813036024
SARIMAX,ALL3,0.4,0.9,0.7,52.89421157684631,59.05044510385756,35.79807772137143,51.114922813036024
SARIMAX,ALL3,0.4,1.0,0.7,52.62807717897538,57.86350148367953,36.27537118020945,51.114922813036024
SARIMAX,ALL3,0.5,0.5,0.7,52.96074517631404,59.34718100890207,34.29877019209577,51.114922813036024
SARIMAX,ALL3,0.5,0.6,0.7,52.96074517631404,59.34718100890207,34.61107001991532,51.114922813036024
SARIMAX,ALL3,0.5,0.7,0.7,52.761144377910846,58.45697329376854,34.959936515660516,51.114922813036024
