Exp,Origin,Horizonte,ForecastYear,Mine,Actual,Pred,Naive_Pred,SARIMAX_Pred,Company_Size,Mine_Size,Origin_Prod,Model_Error,Naive_Error,Beats_Naive,MAPE,Is_Pandemic_Target,Is_Recovery_Target,Alpha_Mine
Ens_LC_3070,2014,3,2017,centinela_centinela_óxidos_,64.5,94.17866847590906,93.8,96.16141032770732,1.0,2,,29.678668475909063,29.299999999999997,0,46.013438784146786,,,
Ens_LC_3070,2014,3,2017,cerro colorado,66.19999999999999,79.84141745125427,79.6,78.81547790499143,2.0,2,,13.641417451254284,13.400000000000006,0,20.606370461012965,,,
Ens_LC_3070,2014,3,2017,chuquicamata,330.9,359.4013711212402,340.4,343.81672165303263,2.0,3,,28.501371121240197,9.5,0,8.6132883152334,,,
Ens_LC_3070,2014,3,2017,collahuasi,524.0,431.74524412260917,470.4,411.9940115634798,2.0,3,,92.25475587739083,53.60000000000002,0,17.605869408651174,,,
Ens_LC_3070,2014,3,2017,el abra,78.4,161.16220336380533,166.40000000000003,165.69654912248865,2.0,3,,82.76220336380533,88.00000000000003,1,105.5640335563329,,,
Ens_LC_3070,2014,3,2017,el teniente,464.3,464.5207267121914,455.5,452.9634311340694,2.0,3,,0.22072671219137874,8.800000000000011,1,0.04753967514882231,,,
Ens_LC_3070,2014,3,2017,escondida,925.4,1179.8912884971228,1165.4,1178.282220161121,2.0,3,,254.4912884971228,240.0000000000001,0,27.500679513952452,,,
Ens_LC_3070,2014,3,2017,gabriela mistral,122.7,122.30955343311328,121.0,124.5563629789811,2.0,2,,0.3904465668867232,1.7000000000000028,1,0.3182123583574569,,,
Ens_LC_3070,2014,3,2017,lomas bayas,78.0,62.7948871910243,66.4,59.51274177590217,2.0,2,,15.205112808975699,11.599999999999994,0,19.493734120562,,,
Ens_LC_3070,2014,3,2017,los bronces,348.69999999999993,428.90677778366125,436.8999999999999,443.5834581511389,2.0,3,,80.20677778366132,88.19999999999999,1,23.001656883752446,,,
Ens_LC_3070,2014,3,2017,los pelambres,356.30000000000007,406.17347825162994,404.6,429.7786026967939,1.0,3,,49.87347825162988,48.299999999999955,0,13.997608226678022,,,
Ens_LC_3070,2014,3,2017,radomiro tomic,318.9,295.40032233058423,327.3,276.2306731540002,2.0,3,,23.499677669415746,8.400000000000034,0,7.368980117819363,,,
Ens_LC_3070,2014,3,2017,zaldivar,103.29999999999998,78.1867481509544,100.59999999999998,69.80829461829121,1.0,2,,25.113251849045582,2.700000000000003,0,24.310988969928072,,,
Ens_LC_3070,2014,4,2018,andina,195.5,232.42942212285004,232.40000000000003,232.3984153349325,2.0,3,,36.92942212285004,36.900000000000034,0,18.889729889489896,,,
Ens_LC_3070,2014,4,2018,candelaria,101.7,135.5687987665351,134.70000000000002,130.9615239658952,1.0,2,,33.86879876653511,33.000000000000014,0,33.30265332695041,,,
Ens_LC_3070,2014,4,2018,capstone copper (4),83.5,99.84826390365785,104.2,98.74815132357277,0.0,2,,16.348263903657852,20.700000000000003,1,19.578758931581152,,,
Ens_LC_3070,2014,4,2018,centinela_centinela_sulfuros_,155.4,179.66048792803133,180.7,180.7,1.0,2,,24.260487928031324,25.299999999999983,1,15.61163949286675,,,
Ens_LC_3070,2014,4,2018,centinela_centinela_óxidos_,92.6,95.81139382768905,93.8,96.11436634483586,1.0,2,,3.211393827689051,1.2000000000000028,0,3.4680278542211367,,,
Ens_LC_3070,2014,4,2018,cerro colorado,66.19999999999999,80.59318960185604,79.6,78.55950018244503,2.0,2,,14.39318960185605,13.400000000000006,0,21.741977922109175,,,
Ens_LC_3070,2014,4,2018,chuquicamata,320.7,362.73088822977985,340.4,344.1415285717721,2.0,3,,42.03088822977986,19.69999999999999,0,13.105983192616161,,,
Ens_LC_3070,2014,4,2018,collahuasi,559.1999999999999,426.8515362988903,470.4,408.23968225408385,2.0,3,,132.3484637011096,88.79999999999995,0,23.66746485415504,,,
Ens_LC_3070,2014,4,2018,el abra,91.3,159.42732341621326,166.40000000000003,166.3470106547079,2.0,3,,68.12732341621326,75.10000000000004,1,74.61919240966193,,,
Ens_LC_3070,2014,4,2018,el teniente,465.0,466.1932917407096,455.5,453.09948820920533,2.0,3,,1.1932917407095829,9.5,1,0.2566218791706159,,,
Ens_LC_3070,2014,4,2018,escondida,1242.7,1165.6122330731891,1165.4,1173.4135026466588,2.0,3,,77.0877669268109,77.29999999999995,1,6.203248319367378,,,
Ens_LC_3070,2014,4,2018,gabriela mistral,107.3,119.20004861403527,121.0,122.47879263380007,2.0,2,,11.90004861403527,13.700000000000003,1,11.090445948863756,,,
Ens_LC_3070,2014,4,2018,lomas bayas,72.69999999999999,62.79859390593096,66.4,57.88447811975236,2.0,2,,9.901406094069031,6.299999999999983,0,13.619540519771153,,,
Ens_LC_3070,2014,4,2018,los bronces,422.2000000000001,431.92741338839846,436.8999999999999,442.95416143634185,2.0,3,,9.727413388398361,14.699999999999818,1,2.3039823224439924,,,
Ens_LC_3070,2014,4,2018,los pelambres,370.50000000000006,409.7689151945425,404.6,438.10503969361207,1.0,3,,39.268915194542444,34.099999999999966,0,10.598897459798506,,,
Ens_LC_3070,2014,4,2018,radomiro tomic,332.70000000000005,296.0295403919385,327.3,276.231202924017,2.0,3,,36.67045960806155,5.400000000000034,0,11.022079800974074,,,
Ens_LC_3070,2014,4,2018,zaldivar,94.5,70.4988141488004,100.59999999999998,61.62395663182697,1.0,2,,24.001185851199594,6.09999999999998,0,25.39807999705693,,,
Ens_LC_3070,2014,5,2019,andina,170.29999999999998,234.13113728125916,232.40000000000003,232.39841418730035,2.0,3,,63.831137281259174,62.10000000000005,0,37.48158362092974,,,
